toraj	torej
snaminje	znamenje
od	od
nebęſs	nebes
pokasal	pokazal
.	.
kako	kako
perſerzhno	prisrčno
ljubi	ljubi
jesuſ	jezus
otroke	otroke
!	!
ja	ja
”	”
—	—
je	je
rekla	rekla
dalje	dalje
—	—
„	„
ta	ta
imá	ima
môj	moj
pervi	prvi
opravek	opravek
biti	biti
,	,
de	da
ga	ga
têbi	tebi
poſvezhím	posvetim
.	.
baron	baron
.	.
goſpod	gospod
je	je
bil	bil
s'	z
njimi	njimi
,	,
ino	in
jim	jim
je	je
dal	dal
mozh	moč
zhudeshe	čudeže
delati	delati
.	.
31.	31.
satęga_vólo	zategavoljo
vam	vam
povęm	povem
:	:
vſaki	vsaki
gręh	greh
,	,
inu	in
preklinovanje	preklinjanje
bó	bo
zhlovękam	človekom
odpuſhenu	odpuščeno
,	,
ampak	ampak
preklinovanje	preklinjanje
tiga	tega
dùhá	duha
ne	ne
bó	bo
odpuſhenu	odpuščeno
.	.
˛se	se
váruje	varuje
druſhine	druščine
hudobnih	hudobnih
ljudi	ljudi
.	.
natiſnil	natisnil
joshef	jožef
blasnik	blaznik
.	.
tvojga	tvojega
ozhęta	očeta
.	.
enkrat	enkrat
je	je
ſamo	samo
sa	za
to	to
v'	v
saverhe	zavrhe
ſhel	šel
,	,
de	da
bi	bi
njo	njo
ſhe	še
sahvalil	zahvalil
,	,
ino	in
ji	ji
povedal	povedal
,	,
koljko	koliko
mu	mu
je	je
dobro	dobro
ſtorila	storila
;	;
alj	ali
ona	ona
je	je
bila	bila
she	že
ſlushbo	službo
sapuſtila	zapustila
.	.
ker	ker
ſe	se
is	iz
vſiga	vsega
tega	tega
previdi	previdi
,	,
de	da
mora	mora
te	te
bolésni	bolezni
pri	pri
vſih	vseh
le	le
ena	ena
rezh	reč
kriva	kriva
biti	biti
,	,
ſi	si
drusiga	drugega
ni	ni
mogel	mogel
miſliti	misliti
,	,
de	da
kmetje	kmetje
ſamo	samo
od	od
tako	tako
kratkih	kratkih
zévk	cevk
raka	raka
dobijo	dobijo
,	,
ktere	katere
vzhaſi	včasi
zel	cel
dan	dan
med	med
sobmi	zobmi
tizhé	tiče
.	.
drugo	drugo
nedeljo	nedeljo
.	.
nekdo	nekdo
je	je
rekel	rekel
jesuſu	jezusu
:	:
„	„
kaj_nè	kajne
,	,
uzhenik	učenik
!	!
jęrza	jerca
.	.
inu	in
bratje	bratje
njegóvi	njegovi
jakob	jakob
,	,
inu	in
jósheph	jožef
,	,
inu	in
şimon	simon
,	,
inu	in
judas	juda
.	.
naj_lepſhi	najlepši
dar	dar
je	je
ta	ta
bogu	bogu
!	!
”	”
„	„
le	le
pozhajta	počakajta
,	,
de	da
domu	domov
pridemo	pridemo
,	,
pravijo	pravijo
mati	mati
.	.
6.	6.
inu	in
ne	ne
bó	bo
ſpoſhtùval	spoštoval
ſvojga	svojega
ozhęta	očeta
,	,
ali	ali
ſvojo	svojo
mater	mater
:	:
inu	in
ſte	ste
sapóvèd	zapoved
boshjo	božjo
k'	k
nìzh	nič
ſturili	storili
savólo	zavoljo
vaſhiga	vašega
isrozhenja	izročenja
:	:
v'	v
katere	katere
perſsih	prsih
je	je
vſa	vsa
ſèrzhnoſt	srčnost
tih	teh
bęjshęzhih	bežečih
jógrov	jogrov
vkupej	vkupaj
priſhla	prišla
;	;
v'	v
katęre	katere
ſèrzi	srcu
je	je
takrat	takrat
kakor	kakor
v'	v
enim	enem
satękaliſhi	zatekališču
vſa	vsa
zęrku	cerkev
,	,
kakor	kakor
ena	ena
ràskroplena	razkropljena
zhęda	čreda
po	po
vbytim	ubitem
paſtirji	pastirju
ohranjena	ohranjena
inu	in
odtęta	oteta
bila	bila
!	!
1.	1.
ali	ali
ſe	se
bodo	bodo
istróſhki	stroški
zhes	čez
kak	kak
zhaſ	čas
povernili	povrnili
?	?
ſpomni	spomni
ſe	se
me	me
,	,
kedar	kadar
v'	v
ſvoje	svoje
kraljeſtvo	kraljestvo
prideſh	prideš
.	.
kjer	kjer
ſadesh	sadež
ſejeſh	seješ
,	,
oſjano	obsejano
semljo	zemljo
tako	tako
mozhno	močno
s	s
zeglavo	ceglovo
moko	moko
potroſi	potrosi
(	(
to	to
je	je
s	z
drobno	drobno
ſtolzhenim	stolčenim
zeglam	ceglom
,	,
)	)
de	da
ſo	so
tla	tla
rudezhe	rdeča
.	.
ſerzę	srce
mi	mi
bo	bo
rasdjala	razdejala
,	,
zhe	če
me	me
ne	ne
vſliſhijo	uslišijo
.	.
amen	amen
.	.
zheterto	četrto
nedeljo	nedeljo
.	.
oſkerbljênje	oskrbovanje
têbe	tebe
in	in
gradu	gradu
s	z
graſhinſtvam	graščinstvom
ſim	sem
sa	za
bógam	bogom
ſvojimu	svojemu
hiſhniku	hišniku
tukaj	tukaj
isrózhil	izročil
.	.
—	—
zhe	če
pak	pa
hozheſh	hočeš
zęliga	celega
v'	v
shupo	župo
djati	dati
,	,
moreſh	moraš
en	en
drugi	drugi
piſker	pisker
s'	s
putram	putrom
dobro	dobro
namasat	namazati
,	,
to	to
v'	v
pervim	prvem
piſkru	piskru
narejeno	narejeno
meſhanje	mešanje
notri	notri
preliti	preliti
,	,
inu	in
kuhat	kuhati
perſtaviti	pristaviti
,	,
kakor	kakor
sgorej	zgoraj
.	.
„	„
o	o
ljuba	ljuba
mati	mati
!	!
ne	ne
moremo	moremo
vam	vam
ga	ga
dati	dati
,	,
ſhe	še
nam	nam
bi	bi
ga	ga
permankovati	primanjkovati
utegnilo	utegnilo
;	;
pojdite	pojdite
raji	raje
k'	k
oljarju	oljarju
,	,
ino	in
ſi	si
ga	ga
kupite	kupite
,	,
kolikor	kolikor
ga	ga
potrebujete	potrebujete
.	.
ko	ko
ſe	se
samok	zamok
na	na
vezh	več
vish	viž
ravna	ravna
,	,
odvrazhuj	odvračaj
ga	ga
ravno	ravno
tako	tako
:	:
ob	ob
tem	tem
zhaſu	času
je	je
tudi	tudi
prerok	prerok
jona	jona
shivel	živel
.	.
toraj	torej
mu	mu
,	,
ko	ko
je	je
priſhel	prišel
,	,
vſi	vsi
veſéli	veseli
rekó	rečejo
:	:
„	„
goſpoda	gospoda
ſmo	smo
vídili	videli
!	!
bile	bile
ſo	so
prerokbe	prerokbe
preroka	preroka
isaija	izaija
.	.
78.	78.
sirni	sirni
nudelni	nudeljni
na	na
maſli	maslu
zverti	cvrti
.	.
15.	15.
katęri	kateri
imá	ima
vuſhęſsa	ušesa
sa	za
poſluſhat	poslušat
,	,
tá	ta
poſluſhaj	poslušaj
.	.
shaloſtna	žalostna
smota	zmota
naſhiga	našega
prebriſaniga	prebrisanega
,	,
uſmiljenja	usmiljenja
polniga	polnega
ſtoletja	stoletja
!	!
na	na
nedelo	nedeljo
imęnuvano	imenovano
sexageſima	sexagesima
.	.
ti	ti
ſi	si
shiva	živa
podoba	podoba
nar_ſerzhnejſhi	najsrečnejše
ljubesni	ljubezni
,	,
ker	ker
ſvojiga	svojega
blishniga	bližnjega
,	,
bodi_ſi	bodisi
kdorkolj	kdorkoli
,	,
v	v
ljubesni	ljubezni
s	z
rozhizami	ročicami
objameſh	objameš
,	,
in	in
ga	ga
ſvoje	svoje
shive	žive
dni	dni
vezh	več
ne	ne
ispuſtiſh	izpustiš
.	.
24.	24.
on	on
pak	pa
je	je
odgovoril	odgovoril
,	,
inu	in
je	je
djal	dejal
:	:
jeſt	jaz
niſim	nisem
poſlán	poslan
,	,
kakòr	kakor
h'	h
tim	tem
sgublenim	zgubljenim
ovzam	ovcam
israelſke	izraelske
hiſhe	hiše
.	.
njegov	njegov
ſveti	sveti
duh	duh
jih	jih
je	je
oshivljal	oživljal
,	,
de	da
ſo	so
mogli	mogli
ſveto	sveto
shiveti	živeti
.	.
pri	pri
ſadajnim	sedanjem
dolgim	dolgem
miru	miru
ſe	se
ljudje	ljudje
dobro	dobro
pozhutijo	počutijo
,	,
lepó	lepo
obnaſhajo	obnašajo
,	,
ſnashno	snažno
nóſijo	nosijo
,	,
in	in
dobro	dobro
shive	žive
.	.
2.	2.
phariſærji	farizeji
pak	pa
,	,
kęr	ker
ſo	so
vidili	videli
,	,
ſo	so
djali	dejali
k'	k
njemu	njemu
:	:
pole	pole
,	,
tvoji	tvoji
jógri	jogri
dęlajo	delajo
,	,
kar	kar
ſe	se
ne	ne
ſmę	sme
dęlati	delati
ob	ob
ſabbóti	soboti
.	.
„	„
30	30
„	„
je	je
bil	bil
paris	pariz
doblen	dobljen
,	,
„	„
30	30
„	„
je	je
napoljon	napoleon
ſvoje	svoje
zeſarſtvo	cesarstvo
sapravil	zapravil
.	.
şilno	silno
je	je
mene	mene
le	le
to	to
peklo	peklo
,	,
in	in
komaj	komaj
ſim	sem
ſholo	šolo
sapuſtil	zapustil
,	,
ker	ker
ſim	sem
to	to
rezh	reč
premiſhljevati	premišljevati
in	in
ſkuſhati	skušati
sazhel	začel
.	.
ke	ker
nam	nam
to	to
potrebno	potrebno
,	,
inu	in
preobilno	preobilno
gnado	gnado
boſhjo	božjo
neli	neli
pomenejo	pomenijo
,	,
ampak	ampak
tudi	tudi
koker	kakor
ene	ene
svete	svete
posode	posode
svetega	svetega
duhá	duha
taisto	taisto
gnado	gnado
v'	v
sebi	sebi
derſhèe	drže
,	,
inu	in
nam	nam
res	res
takrat	takrat
podejlée	podelijo
,	,
kader	kadar
mi	mi
te	te
ss.	ss.
ſakramente	zakramente
spodobnu	spodobno
prejemamo	prejemamo
.	.
poſebno	posebno
pa	pa
je	je
potrebnim	potrebnim
ino	in
poſhtenim	poštenim
popotnim	popotnim
s'	z
vſmilenim	usmiljenim
ſerzam	srcem
rad	rad
poſtregel	postregel
.	.
3.	3.
katiri	kateri
nam	nam
ſkus	skozi
tebe	tebe
gmira	gmira
to	to
ſerzhno	srčno
lubesen	ljubezen
.	.
)	)
o	o
rezi	reci
,	,
le	le
sa	za
me	me
!	!
pognalo	pognalo
,	,
raſtlo	rastlo
,	,
sadeloválo	zadelovalo
,	,
ino	in
trideſetéri	trideseteri
,	,
ſheſtdeſetéri	šestdeseteri
,	,
zelò	celo
ſtotéri	stoteri
ſad	sad
je	je
obrodilo	obrodilo
.	.
˛sklep	sklep
poduka	poduka
,	,
kako	kako
ſe	se
imá	ima
per	pri
kupovanju	kupovanju
konj	konj
ravnati	ravnati
in	in
kako	kako
ſe	se
njih	njih
ſtaroſt	starost
prav	prav
ſposná	spozna
,	,
tako	tako
govori	govori
:	:
to	to
je	je
mladoſt	mladost
—	—
kaj	kaj
ſe	se
ozhe	hoče
34.	34.
vſe	vse
letó	le-to
je	je
jęsus	jezus
k'	k
mnóshizam	množicam
govoril	govoril
v'	v
pèrglihah	priglihah
,	,
inu	in
bres	brez
pèrglih	priglih
ny	ni
govóril	govoril
k'	k
njim	njim
.	.
sa	za
tiſte	tiste
,	,
kteri	kateri
ſhe	še
nizh	nič
kaj	kaj
od	od
nje	nje
ne	ne
vedo	vedo
,	,
ki	ki
je	je
niſo	niso
vidili	videli
,	,
tudi	tudi
ſe	se
ne	ne
po	po
nji	njej
vosili	vozili
.	.
prijasnoſt	prijaznost
hudobnih	hudobnih
ljudi	ljudi
namrezh	namreč
ſe	se
velikokrat	velikokrat
v'	v
ſmertno	smrtno
ſovraſhtvo	sovraštvo
prevershe	prevrže
.	.
gléjte	glejte
,	,
ſhe	še
ptizhka	ptička
)	)
oh	oh
vaſha	vaša
gnada	gnada
,	,
jeſt	jaz
gorim	gorim
od	od
lubęsni	ljubezni
!	!
takim	takim
beſedam	besedam
naſprot	nasproti
poſtavim	postavim
jeſt	jaz
mojo	mojo
ſkuſhnjo	skušnjo
,	,
ker	ker
ſim	sem
ſe	se
ſkosi	skozi
ſhtevilo	število
let	let
na_tanko	natanko
preprizhal	prepričal
,	,
de	da
zhbele	čebele
,	,
zhe	če
jih	jih
je	je
veliko	veliko
v	v
enim	enem
panju	panju
,	,
nizh	nič
vezh	več
ne	ne
potrebujejo	potrebujejo
shivesha	živeža
,	,
kakor	kakor
zhe	če
jih	jih
je	je
malo	malo
.	.
nęshka	nežka
.	.
18.	18.
vy	vi
tèdaj	tedaj
poſluſhajte	poslušajte
tó	to
pèrgliho	prigliho
tiga	tega
ſèjavza	sejalca
:	:
2	2
,	,
24.	24.
)	)
kakôr_je_bil_koli	kakorkoli
je	je
bil	bil
ſhpotliv	špotljiv
,	,
ga	ga
je	je
hotel	hotel
pèr	pri
glaſsi	glasu
tę	te
trobente	trobente
neſti	nesti
pred	pred
ozhmy	očmi
eniga	enega
folka	folka
bres	brez
ſhtivila	števila
,	,
po_dnęvi	podnevi
ſkusi	skozi
zęſte	ceste
,	,
kęr	kjer
je	je
vſe	vse
od	od
ludy	ljudi
gomàsęlu	gomazelo
,	,
katęri	kateri
ſo	so
savolo	zavoljo
velikanozhniga	velikonočnega
prasnika	praznika
od	od
vſih	vseh
krajov	krajev
v'	v
jerusalem	jeruzalem
perdèrlï	pridrli
,	,
on	on
ga	ga
jé	je
hotèl	hotel
neſti	nesti
,	,
kakôr_je_bil_leta_krish_koli	kakorkoli
je	je
bil	bil
leta	le-ta
krish	križ
krivizhen	krivičen
;	;
ali	ali
on	on
ga	ga
ny	ni
hotèl	hotel
ſam	sam
neſti	nesti
.	.
męnim	menim
de	da
!	!
kaj	kaj
se	se
ſene	za_ena
della	dela
tega	tega
meſſá	mesa
?	?
goſpa	gospa
.	.
po	po
taki	taki
molitvi	molitvi
ſo	so
ſe	se
ji	ji
,	,
zhes	čez
dolgo	dolgo
v	v
pervizh	prvič
v	v
ſladkim	sladkem
ſpanju	spanju
ozhí	oči
saperle	zaprle
.	.
inu	in
katęrikoli	katerikoli
ſo	so
ſe	se
ga	ga
dotàknili	dotaknili
,	,
ſo	so
bily	bili
osdravleni	ozdravljeni
.	.
7.	7.
ony	oni
ſo	so
pak	pa
ſamy	sami
pèr	pri
ſèbi	sebi
miſlili	mislili
rekózh	rekoč
:	:
de	da
my	mi
niſmo	nismo
kruhe	kruhe
vsęli	vzeli
.	.
7.	7.
vzhaſi	včasi
,	,
pa	pa
ne	ne
v	v
navadnih	navadnih
prigodkih	prigodkih
,	,
ſe	se
vrankni	vranični
priſad	prisad
tudi	tudi
nalése	naleze
.	.
dr.	dr.
şhreiber	shreiber
,	,
ruſovſki	rusovski
sdravitelj	zdravitelj
,	,
sapré	zapre
hudiga	hudega
pijanza	pijanca
k	k
ſebi	sebi
v	v
isbo	izbo
(	(
zimer	cimer
)	)
in	in
mu	mu
podá	poda
po	po
ſvojim	svojem
ſposnanju	spoznanju
verzhik	vrček
shganja	žganja
,	,
kterimu	kateremu
je	je
pa	pa
vezh	več
ko	kot
poloviza	polovica
vode	vode
perdjana	pridana
.	.
—	—
—	—
v	v
zherno	črno
,	,
ſtraſhno	strašno
nózh	noč
!	!
matizh.	matič.
pokaj	pokaj
,	,
zepiz	cepec
,	,
in	in
rasbijaj	razbijaj
,	,
de	da
vſe	vse
sernje	zrnje
odleti	odleti
,	,
hitro	hitro
,	,
urno	urno
ſe	se
mi	mi
svijaj	zvijaj
,	,
to	to
me	me
v	v
ſerze	srce
veſeli	veseli
!	!
”	”
ji	ji
je	je
grôf	grof
rékel	rekel
.	.
marija	marija
finkuſhtni	binkoštni
pondęlik	ponedeljek
.	.
pridni	pridni
in	in
delavni	delavni
ljudje	ljudje
rasdelujejo	razdelujejo
puſhave	puščave
ſimtertje	semtertja
po	po
deshelji	deželi
,	,
naj	naj
bo	bo
vam	vam
to	to
rasgled	zgled
.	.
sa_tega	zategavoljo
voljo	zategavoljo
ſo	so
jih	jih
dobri	dobri
ljudje	ljudje
sveſto	zvesto
poſluſhali	poslušali
,	,
ino	in
ſo	so
vero	vero
jesuſa	jezusa
kriſtuſa	kristusa
na-ſe	nase
jemali	jemali
.	.
sabſtójn	zastonj
pravi	pravi
jęsus	jezus
k'	k
njemu	njemu
:	:
priatèl	prijatelj
sakaj	zakaj
ſi	si
priſhàl	prišel
?	?
ali	ali
kaj	kaj
pravi	pravi
leto	le-to
piſmu	pismo
?	?
anshe	anže
,	,
jaka	jaka
.	.
inu	in
ti	ti
bi	bi
rada	rada
pleſsala	plesala
;	;
kaj_ne	kajne
?	?
sakaj	zakaj
bóg	bog
je	je
rękàl	rekel
.	.
”	”
genovefa	genovefa
je	je
rêkla	rekla
:	:
„	„
bodi	bodi
shé	že
vunder	vendar
upokojen	upokojen
,	,
vojnomir	vojnomir
!	!
“	“
potler	potlej
je	je
tudi	tudi
njega	njega
vezh	več
koker	kakor
petſtu	petsto
bratov	bratov
skupej	skupaj
vidilu	videlo
,	,
s'	iz
katirih	katerih
njeh	njih
je	je
she	še
sdej	zdaj
doſti	dosti
per	pri
shivlenju	življenju
,	,
eni	eni
pak	pa
ſo	so
she	že
saſpalli	zaspali
.	.
vunajneh	vnanjih
pozhutkov	počutkov
samopashnoſt	samopašnost
je	je
te	te
dushe	duše
gvishnu	gvišno
pogublenje	pogubljenje
.	.
na	na
poli	polju
vodo	vodo
is	z
niv	njiv
spuſhat	spuščati
,	,
deſhevno	deževno
vodo	vodo
pa	pa
zhes	čez
travnike	travnike
puſtiti	pustiti
tezhi	teči
.	.
44.	44.
nebęſhku	nebeško
krajlęſtvu	kraljestvo
je	je
enaku	enako
enimu	enemu
v'	v
nyvi	njivi
ſkritimu	skritemu
ſhazu	šacu
,	,
katęriga	katerega
je	je
en	en
zhlovèk	človek
neſhàl	našel
,	,
inu	in
ſkril	skril
,	,
inu	in
od	od
veſsela	veselja
zhes	čez
tó	to
grę	gre
,	,
inu	in
predá	proda
vſe	vse
,	,
kar	kar
imà	ima
,	,
inu	in
kupi	kupi
toiſto	taisto
nyvo	njivo
.	.
od.	od
ja	ja
!	!
skoraj	skoraj
vſaki	vsak
is	iz
vaſ	vas
ima	ima
med	med
ſvojim	svojim
poljam	poljem
kaj	kaj
taziga	takega
ſveta	sveta
,	,
ki	ki
mu	mu
nizh	nič
ne	ne
perneſe	prinese
.	.
ſtavil.	stavil.
11.	11.
sakaj	zakaj
ne	ne
saſtópite	zastopite
,	,
de	da
vam	vam
niſim	nisem
od	od
kruha	kruha
govoril	govoril
(	(
kadar	kadar
ſim	sem
djal	dejal
)	)
:	:
varite	varujte
ſe	se
pred	pred
kvaſsam	kvasom
tih	teh
phariſærjov	farizejev
,	,
inu	in
şadducæerjov	saducejev
?	?
na	na
ſvetlobo	svetlobo
dane	dane
od	od
z.	c.
k.	k.
kmetijſke	kmetijske
drushbe	družbe
.	.
bogu	bogu
je	je
ſlushila	služila
vſe	vse
ſvoje	svoje
dni	dni
,	,
velíko	veliko
molila	molila
,	,
terdo	trdo
ſe	se
poſtila	postila
,	,
ino	in
sheljno	željno
perzhakovala	pričakovala
obljubljeniga	obljubljenega
odreſhenika	odrešenika
.	.
2.	2.
mora	mora
biti	biti
nekoliko	nekoliko
,	,
kakor	kakor
lok	lok
,	,
napéta	napeta
,	,
tako	tako
de	da
je	je
,	,
kadar	kadar
je	je
navesana	navezana
,	,
proti	proti
rozhniku	ročniku
kriva	kriva
,	,
in	in
de	da
,	,
kadar	kadar
na	na
ſvoje	svoje
lize	lice
pade	pade
,	,
oba	oba
konza	konca
nekoliko	nekoliko
na	na
kviſhko	kvišku
ſtojita	stojita
.	.
ii.	ii.
premiſhluvanje	premišljevanje
.	.
”	”
—	—
po	po
tvôji	tvoji
beſédi	besedi
hozhem	hočem
,	,
—	—
je	je
rekla	rekla
po_tém	potem
,	,
—	—
ſvôje	svoje
svelizhanje	zveličanje
sidáti	zidati
in	in
terdno	trdno
ko	kot
na	na
ſkali	skali
bo	bo
ſtalo	stalo
.	.
odſihmal	odsihmal
je	je
jesuſ	jezus
hodil	hodil
od	od
meſta	mesta
do	do
meſta	mesta
,	,
od	od
terga	trga
do	do
terga	trga
,	,
od	od
vaſí	vasi
do	do
vaſí	vasi
.	.
amen	amen
,	,
“	“
naman	naman
,	,
veſ	ves
prevseten	prevzeten
,	,
je	je
bil	bil
nevoljen	nevoljen
,	,
de	da
ni	ni
prerok	prerok
ſam	sam
is	iz
hiſhe	hiše
k'	k
njemu	njemu
priſhel	prišel
,	,
ino	in
rezhe	reče
:	:
„	„
zhimu	čemu
bi	bi
ſe	se
neki	neki
mogel	moral
ravno	ravno
v'	v
jordanu	jordanu
umivati	umivati
?	?
zhe	če
ſe	se
ſhe	še
pomiſli	pomisli
,	,
de	da
ſo	so
po	po
kmétih	kmetih
hiſhe	hiše
ſhe	še
vezhkrat	večkrat
she	že
posno	pozno
v'	v
mrak	mrak
ſe	se
revesh	revež
v'	v
kloſhter	klošter
podá	poda
,	,
ino	in
proſi	prosi
,	,
naj	naj
vbogiga	ubogega
popotnika	popotnika
,	,
ki	ki
je	je
v'	v
neſrezho	nesrečo
padil	padel
,	,
ravnitelu	ravnatelju
oglaſijo	oglasijo
.	.
komej	komaj
je	je
angelj	angel
isgovoril	izgovoril
,	,
she	že
ſe	se
je	je
drusih	drugih
angeljev	angelov
bres	brez
ſhtevila	števila
perkasalo	prikazalo
.	.
kedar	kadar
ſo	so
perſtana	prstana
dobili	dobili
,	,
dajo	dajo
perviga	prvega
ſvoji	svoji
mini	mini
,	,
ki	ki
ſe	se
je	je
bila	bila
vſa	vsa
pobóljſhala	poboljšala
,	,
ter	ter
pravijo	pravijo
:	:
„	„
noſi	nosi
sdaj	zdaj
te	ta
perſtan	prstan
,	,
ino	in
ravno	ravno
tako	tako
s'	z
njim	njim
ſtóri	stori
,	,
kakor	kakor
ſi	si
s'	z
opomnizami	opomnicami
délala	delala
.	.
inu	in
ony	oni
ſo	so
od	od
ſtraha	strahu
vpyli	vpili
.	.
ko	ko
ſe	se
je	je
jesuſ	jezus
ſhtirdeſet	štirideset
dni	dni
ino	in
nozhi	noči
bil	bil
prepoſtil	prepostil
,	,
je	je
bil	bil
lazhen	lačen
.	.
zhe	če
hozheſh	hočeš
shido	žido
perdelati	pridelati
,	,
moraſh	moraš
shidne	židane
zherve	črve
imeti	imeti
in	in
jih	jih
tako	tako
dolgo	dolgo
rediti	rediti
,	,
de	da
ti	ti
shido	žido
ſpredejo	spredejo
.	.
o	o
ja	ja
!	!
8.	8.
letó	le-to
ludſtvu	ljudstvo
s'	z
shnabli	žnablji
mene	mene
zhaſty	časti
,	,
njih	njih
ſèrzę	srce
pak	pa
je	je
delezh	daleč
od	od
mene	mene
.	.
in	in
od	od
mene	mene
va-njo	vanjo
perpravljena	pripravljena
.	.
19.	19.
zeſarſke	cesarske
poſtave	postave
pri	pri
kupovanju	kupovanju
konj	konj
.	.
45.	45.
şpęt	spet
je	je
enaku	enako
nebęſhku	nebeško
krajlęstvu	kraljestvo
enimu	enemu
kùpzú	kupcu
,	,
katęri	kateri
yſhe	išče
dobre	dobre
shlatne	žlahtne
kamène	kamne
.	.
„	„
matth.	matth.
goveje	goveji
shivine	živini
lorbarjovu	lorberjevo
perje	perje
ſlanu	slano
jeſti	jesti
dati	dati
,	,
inu	in
ne	ne
poprej	poprej
na	na
paſho	pašo
puſtiti	pustiti
,	,
ampak	ampak
de	da
sonze	sonce
she	še
vezhi	večjo
mozh	moč
dobi	dobi
,	,
kader	kadar
je	je
velka	velika
megla	megla
,	,
ſhivino	živino
ne	ne
sunej	zunaj
paſti	pasti
,	,
je	je
ſkodlivo	škodljivo
.	.
s.	s.
jannes	janez
nepomuzenus	nepomuk
je	je
bil	bil
ſa_tu	zato
utoplén	utopljen
.	.
ker	ker
nimate	nimate
perloshnoſti	priložnosti
do	do
shelesnih	železnih
zéſt	cest
priditi	priti
,	,
ſhe	še
manj	manj
,	,
ſe	se
po	po
njih	njih
vositi	voziti
,	,
vam	vam
hozhemo	hočemo
nekoliko	nekoliko
popiſati	popisati
in	in
rasloshiti	razložiti
:	:
kakſhna	kakšna
je	je
shelesna	železna
zeſta	cesta
in	in
kakó	kako
ſe	se
po	po
nji	njej
vosijo	vozijo
.	.
”	”
ubógi	ubogi
fantek	fantek
je	je
ihtijózh	ihteč
pokléknil	pokleknil
,	,
ſvoj	svoj
mili	mili
obràs	obraz
k	k
tlam	tlom
priklonil	priklonil
,	,
ter	ter
ſvôje	svoje
majhne	majhne
,	,
trepézhe	trepeče
rozhize	ročice
poboshno	pobožno
vsdignil	vzdignil
.	.
je	je
she	že
ozhe	oče
noë	noe
prepéval	prepeval
;	;
kako	kako
te	te
bom	bom
jeſt	jaz
dalej	dalje
pohvalil	pohvalil
?	?
„	„
sdaj	zdaj
,	,
”	”
ſo	so
rekli	rekli
ſami	sami
per	pri
ſebi	sebi
,	,
„	„
nam	nam
bo	bo
ozhital	očital
naſho	našo
nesveſtobo	nezvestobo
,	,
sdaj	zdaj
ſe	se
hudovàl	hudoval
nad	nad
nami	nami
,	,
ko	ko
ſmo	smo
ga	ga
sapuſtili	zapustili
,	,
ino	in
ſmo	smo
beshali	bežali
!	!
tiſtu	tisto
preklętu	prekleto
piſmu	pismo
—	—
—	—
je	je
narędilu	naredilo
,	,
de	da
mi	mi
je	je
kry	kri
savręla	zavrela
.	.
„	„
˛sejáviz	sejalec
,	,
“	“
je	je
sazhel	začel
jesuſ	jezus
,	,
„	„
je	je
ſhel	šel
ſeját	sejat
.	.
ta	ta
hynavez	hinavec
męjni	meni
,	,
de	da
jęsuſa	jezusa
chriſtuſa	kristusa
objęma	objema
,	,
inu	in
on	on
vèndèr_lę	vendarle
ſam	sam
ſebe	sebe
objęma	objema
.	.
ta	ta
je	je
priſhel	prišel
is	iz
daljnih	daljnih
jutrovih	jutrovih
deshèl	dežel
s	z
neismirljivo	neizmerljivo
trumo	trumo
ſhe	še
bolj	bolj
divjih	divjih
vojſhakov	vojščakov
,	,
ktere	katere
—	—
kér	ker
ſo	so
bili	bili
eni	eni
is_med	izmed
njih	njih
v	v
ſvojih	svojih
obrasih	obrazih
nekoliko	nekoliko
pſam	psom
podóbni	podobni
—	—
ſo	so
pſaglávze	psoglavce
imenovali	imenovali
.	.
sadni_ga	zadnjega
slogov	zlogov
odſtavim	odstavim
,	,
ter	ter
pred	pred
ozhi	oči
ti	ti
poſtavim	postavim
,	,
viſhiga	višjega
imena	imena
oſobo	osebo
,	,
hiſhniga	hišnega
reda	reda
podobo	podobo
.	.
umerlo	umrlo
jih	jih
je	je
vezh	več
,	,
kakor	kakor
v	v
letu	letu
1841	1841
—	—
522	522
,	,
rojenih	rojenih
je	je
pa	pa
bilo	bilo
vezh	več
4187.	4187.
v	v
tershaſhkim	tržaškem
poglavarſtvu	poglavarstvu
jih	jih
je	je
bilo	bilo
v	v
letu	letu
1842	1842
rojenih	rojenih
18,938	18,938
,	,
v	v
létu	letu
1841	1841
pa	pa
18,716.	18,716.
rodilo	rodilo
ſe	se
jih	jih
je	je
torej	torej
v	v
letu	letu
1842	1842
—	—
222	222
vezh	več
kakor	kakor
v	v
létu	letu
1841.	1841.
na	na
koróſhkim	koroškem
jih	jih
je	je
pa	pa
v	v
letu	letu
1842	1842
—	—
525	525
menj	manj
umerlo	umrlo
,	,
kakor	kakor
v	v
letu	letu
1841	1841
;	;
na	na
(	(
˛shtajerſkim	štajerskem
1	1
,	,
444	444
;	;
—	—
rodilo	rodilo
ſe	se
jih	jih
je	je
vezh	več
:	:
na	na
koróſhkim	koroškem
1991	1991
,	,
na	na
˛shtajerſkim	štajerskem
:	:
7033.	7033.
v	v
vſim	vsem
zeſarſtvu	cesarstvu
ſe	se
jih	jih
je	je
200	200
tavshent	tavžent
589	589
vezh	več
rodilo	rodilo
,	,
kakor	kakor
jih	jih
je	je
umerlo	umrlo
.	.
—	—
tudi	tudi
je	je
ta	ta
shupa	župa
dobra	dobra
k'	k
drugem	drugim
jedęm	jedem
,	,
de	da
ſe	se
jem	jim
s'	z
njo	njo
rumena	rumena
farba	farba
dá	da
.	.
16.	16.
