AN	An
diſtillir	destilliere
das	das
waſſer	Wasser
alſo	also
zum	zum
dritten	dritten
mahl	Mal
heruͤber	herüber
/	/

wann	wenn
du	du
ein	ein
Kandel	Kandel
voll	voll
waſſer	Wasser
in	in
den	den
Kolben	Kolben
goſſen	gegossen
haſt	hast
/	/
vnd	und
ſich	sich
eine	eine
halbe	halbe
Kandel	Kandel
heruͤber	herüber
diſtillirt	destilliert
hat	hat
/	/
ſo	so
hoͤre	höre
auff	auf
/	/
vnd	und
hebe	hebe
das	das
diſtillirte	destillierte
waſſer	Wasser
auff	auf
/	/

denn	Denn
es	es
iſt	ist
alſo	also
gut	gut
/	/
vnd	und
eines	eines
lieblichen	lieblichen
geruchs	Geruchs
/	/

denn	denn
alles	alles
was	was
ſubtil	subtil
/	/
gut	gut
vnd	und
koͤſtlich	köstlich
/	/
das	das
gehet	geht
im	im
diſtillirn	Destillieren
am	am
erſten	ersten
heruͤber	herüber
/	/

vnd	und
alſo	also
haſtu	hast du
den	den
andern	anderen
weg	Weg
/	/
wie	wie
man	man
auſz	aus
Kraͤutern	Kräutern
ein	ein
waſſer	Wasser
ſol	soll
diſtillirn	destillieren
.	.

Es	Es
gibt	gibt
aber	aber
wenig	wenig
waſſer	Wasser
auff	auf
dieſe	diese
weiſz	Weise
/	/
vnd	und
nimbt	nimmt
viel	viel
zeit	Zeit
/	/
vñ	und
geſchieht	geschieht
mit	mit
mehrerm	mehr
Vnkoſten	Unkosten
/	/
alls	als
das	das
/	/
ſo	so
durchs	durchs das
Instrument	Instrument
diſtillirt	destilliert
wuͤrd	würde
.	.

Der	Der
dritte	dritte
weg	Weg
.	.

Digeſtio	Digestio
im	im
Roſmiſt	Rossmist
oder	oder
_lung	unknown
.	.
DIſz	Dies
iſt	ist
der	der
beſte	beste
vnd	und
nuͤtztlichſte	nützlichste
weg	Weg
/	/
dardurch	dadurch
die	die
waſſer	Wasser
am	am
aller herrlichſtẽ	allerherrlichsten
/	/
vñ	und
auffs	aufs
aller ſubtilſte	allersubtilste
gediſtillirt	destilliert
werdẽ	werden
/	/
welche	welche
an	an
tugendt	Tugend
/	/
geruch	Geruch
/	/
ſtaͤrcke	Stärke
/	/
krafft	Kraft
vñ	und
wirckung	Wirkung
alle	alle
die	die
andern	anderen
weit	weit
vbertreffen	übertreffen
/	/

vnd	und
gehet	geht
alſo	also
zu	zu
.	.

Nimb	Nimm
was	was
fuͤr	für
Kraͤuter	Kräuter
oder	oder
Blumen	Blumen
du	du
wilt	willst
/	/

fuͤlle	fülle
einen	einen
Waldenburgiſchen	Waldenburgischen
Kolben	Kolben
nicht	nicht
gar	gar
halb	halb
voll	voll
/	/
damit	damit
an	an
/	/

(	(
der	der
Kolb	Kolben
muſz	muss
aber	aber
einen	einen
Halſz	Hals
rund	rund
herumb	herum
haben	haben
/	/
vnnd	und
muſz	muss
ſich	sich
in	in
einen	einen
andern	anderen
Kolbẽ	Kolben
mit	mit
dem	dem
Halſz	Hals
ſchlieſſen	schließen
wie	wie
allhier	allhier
neben	neben
verzeichnet	verzeichnet
iſt	ist
)	)

verbinde	Verbinde
die	die
Fugen	Fugen
mit	mit
rindern	rindernen
Blaſen	Blasen
gantz	ganz
wol	wohl
/	/

ſetze	setze
die	die
zwo	zwei
Kolben	Kolben
/	/
alſo	also
auff	auf
einander	einander
gebunden	gebunden
/	/
in	in
einen	einen
Roſzmiſt	Rossmist
/	/
welches	welches
Ich	ich
fuͤr	für
die	die
hoͤchste	höchste
heimligkeit	Heimlichkeit
in	in
der	der
Natur	Natur
halte	halte
/	/
auch	auch
keines wegs	keineswegs
allhier	allhier
kan	kann
beſchrieben	beschrieben
/	/
vnnd	und
ohne	ohne
ſonderliche	sonderliche
handtgriffe	Handgriffe
gelehrnet	gelernt
werden	werden
.	.

Balneum	Balneum
Roris	Roris
.	.

das	das
muſz	muss
inwendig	inwendig
vnter	unter
ſich	sich
gebogen	gebogen
ſein	sein
/	/

da	Da
ſolchen	solchen
reibeſchirm	Reibeschirm
ein	ein
Toͤpffer	Töpfer
nicht	nicht
kann	kann
machen	machen
/	/
muſz	muss
man	man
ehe	ehe
einen	einen
Kupfferſchmidt	Kupferschmied
von	von
kupffer	Kupfer
ein	ein
ſolchen	solchen
laſſen	lassen
verfertigen	verfertigen
/	/

dieſen	diesen
alſo	also
bereiteten	bereiteten
Treibeſchirm	Treibeschirm
/	/
maure	mauere
in	in
einen	einen
Ofen	Ofen
/	/

denn	Dann
laſſe	lasse
den	den
Buͤttner	Büttner
ein	ein
Eychen	eichenes
Faͤſzlein	Fässlein
machen	machen
/	/
mit	mit
einem	einem
Boden	Boden
/	/

diſz	Dies
faͤſzlein	Fässlein
muſz	muss
ſich	sich
mit	mit
dem	dem
boden	Boden
auff	auf
den	den
faltz	Falz
vnnd	und
abſatz	Absatz
deſz	des
reybeſchirm	Reibeschirms
geheb	gehebe
einſchlieſſen	einschließen
/	/

ſo	so
wirt	wird
das	das
hew	Heu
gantz	ganz
lindt	lind
vnd	und
weich	weich
/	/

vmb	um
jn	ihn
her	her
/	/
lege	lege
das	das
eingeweichte	eingeweichte
heuw	Heu
fein	fein
luͤcker	locker
vber	über
die	die
runde	Rundung
deſz	des
treyfuſz	Dreifußes
/	/

danach	danach
ſetze	setze
zwen	zwei
zuſammen	zusammen
gebundene	gebundene
kolben	Kolben
/	/
mit	mit
den	den
zerſtoſſenen	zerstoßenen
Kreutern	Kräutern
oder	oder
Blumen	Blumen
auff	auf
den	den
treyfuſz	Dreifuß
/	/
alſo	also
daſz	dass
der	der
oͤberſte	oberste
gantz	ganz
vnd	und
gar	gar
herauſz	heraus
auſz	aus
dem	dem
faͤſzlein	Fässlein
gehe	gehe
/	/

vmblege	umlege
den	den
vnterſten	untersten
kolben	Kolben
/	/
vom	vom
treyfuſz	Dreifuß
biſz	bis
oben	oben
an	an
das	das
faͤſzlein	Fässlein
auch	auch
fein	fein
luͤcker	locker
mit	mit
hew	Heu
/	/

denn	dann
mache	mache
feuwer	Feuer
in	in
den	den
Ofen	Ofen
/	/
vnd	und
laſz	lass
alſo	also
das	das
Waſſer	Wasser
warm	warm
werden	werden
/	/
daſz	dass
du	du
ſchwerlich	schwerlich
einen	einen
finger	Finger
im	im
treibaſche	Treibasche
im	im
Waſſer	Wasser
halten	halten
kanſt	kannst
/	/

du	du
muſt	musst
aber	aber
in	in
dieſem	diesem
Dampffbad	Dampfbad
die	die
vier	vier
oͤberſten	obersten
loͤchlein	Löchlein
am	am
Ofen	Ofen
eben	eben
klein	klein
machen	machen
/	/
vnd	und
nur	nur
ein	ein
halbes	halbes
loͤchlein	Löchlein
offen	offen
laſſen	lassen
/	/
vnd	und
ſonſten	sonst
alle	alle
loͤcher	Löcher
am	am
Ofen	Ofen
oben	oben
auffs	aufs
fleiſſigſte	fleißigste
zumachen	zumachen
/	/

auch	auch
in	in
dem	dem
Ofen	Ofen
nicht	nicht
groͤſſere	größere
koln	Kohle
/	/
als	als
die	die
Waͤlſchennuͤſz	Walnüsse
ſchuͤtten	schütten
/	/

vnd	und
in	in
dieſem	diesem
Dampffbad	Dampfbad
laſz	lass
die	die
Kolben	Kolben
in	in
gleiche	gleicher
waͤrme	Wärme
vier	vier
wochẽ	Wochen
ſtehen	stehen
.	.

Da	Da
du	du
aber	aber
das	das
Dampffbad	Dampfbad
nicht	nicht
verſteheſt	verstehst
/	/
oder	oder
kanſt	kannst
machen	machen
laſſen	lassen
/	/
ſo	so
ſetze	setze
die	die
Kolben	Kolben
nur	nur
in	in
ein	ein
balneum	Balneum
Mariæ	Mariae
,	,
vnd	und
laſz	lass
das	das
Waſſer	Wasser
bey	bei
leib	Leibe
im	im
pfaͤnlein	Pfännlein
nicht	nicht
ſiedend	siedend
werden	werden
/	/

ſonſten	sonst
wuͤrde	würde
das	das
Waſſer	Wasser
/	/
ſo	so
hernachmals	hernachmals
auſz	aus
den	den
Kreutern	Kräutern
gebrandt	gebrannt
wirt	wird
/	/
ſeurlich	säuerlich
riechen	riechen
.	.

in	in
ſolcher	solcher
waͤrme	Wärme
laſz	lass
die	die
Kolben	Kolben
zehen	zehn
oder	oder
viertzehen	vierzehn
tag	Tag
ſtehen	stehen
/	/

thue	Tue
es	es
wider	wieder
in	in
den	den
Kolben	Kolben
/	/
vnnd	und
ſetze	setze
den	den
andern	anderen
Kolben	Kolben
widerumb	wiederum
darauff	darauf
/	/
wol	wohl
vermacht	vermacht
/	/

ſetze	Setze
es	es
wider	wieder
ins	ins
Dampffbad	Dampfbad
oder	oder
ins	ins
Balneum	Balneum
Mariæ	Mariae
,	,

dann	Dann
nimb	nimm
es	es
herauſz	heraus
/	/
vnd	und
Diſtillir	destillier
es	es
in	in
Balneo	Balneum
Mariæ	Mariae
heruͤber	herüber
/	/

ſo	So
wirſtu	wirst du
ein	ein
ſchoͤnes	schönes
/	/
herrliches	herrliches
/	/
gutes	gutes
/	/
kraͤfftiges	kräftiges
Waſſer	Wasser
bekommen	bekommen
.	.

Andere	Andere
weg	Wege
waſſer	Wasser
zu	zu
diſtillirn	destillieren
.	.

Wie	Wie
mann	man
auſz	aus
allen	allen
Kraͤutern	Kräutern
jr	ihr
quintam	Quinta
eſſentiam	Essentia
.	.
Das	Das
iſt	ist
/	/
jhr	ihr
fuͤnfftes	fünftes
Weſen	Wesen
/	/
oder	oder
jhr	ihr
hoͤchſte	höchste
krafft	Kraft
/	/
ſo	so
ſie	sie
in	in
ſich	sich
haben	haben
/	/
kan	kann
herauſz	heraus
zihen	ziehen
/	/
welchs	welches
viel	viel
koͤſtlicher	köstlicher
iſt	ist
/	/
denn	denn
alle	alle
Waſſer	Wasser
et. c.	etc.
/	/

Extractio	Extractio
durch	durch
ſein	sein
ei⸗	eigenes
gen	unknown
waſſer	Wasser
.	.

Vide	Vide
pagina	pagina
,	,
29.	29.
Per	Per
oleum	oleum
.	.

NIm	Nimm
wz	was
fuͤr	für
ein	ein
Kraut	Kraut
oder	oder
Blumen	Blumen
du	du
wilt	willst
/	/

thue	Tue
ſie	sie
dann	dann
in	in
ein	einen
Kolben	Kolben
/	/
alſo	also
daſz	dass
derſelbe	derselbe
nur	nur
halb	halb
voll	voll
werde	werde
/	/

ſetze	Setze
ein	einen
andern	anderen
Kolben	Kolben
darauff	darauf
/	/
wol	wohl
vermacht	vermacht
/	/
vnd	und
ſetze	setze
es	es
(	(
billich	billig
ſolte	sollte
es	es
ein	ein
Pferdt miſt	Pferdemist
ſein	sein
/	/
in	in
welchẽ	welchen
es	es
ohn	ohne
allen	allen
vnkoſten	Unkosten
geſchehẽ	geschehen
koͤndte	könnte
/	/
)	)
ins	ins
Balneũ	Balneum
Mariæ	Mariae
,	,

thue	Tue
es	es
zuſammen	zusammen
wider	wieder
in	in
den	den
erſten	ersten
kolben	Kolben
/	/

vermache	Vermache
den	den
andern	anderen
kolben	Kolben
feſt	fest
darauff	darauf
/	/

denn	dann
nimb	nimm
es	es
herauſz	heraus
/	/

thue	Tue
es	es
in	in
ein	ein
andern	anderen
kolben	Kolben
/	/
ein	einen
helm	Helm
darauff	darauf
/	/
vnnd	und
distillir	destillier
in	in
Balneo	Balneo
Mariæ	Mariae
das	das
waſſer	Wasser
davon	davon
/	/

diſz	Dies
abe	ab
oder	oder
heruͤber	herüber
diſtillirt	destillierte
waſſer	Wasser
geuſz	gieß
wider	wieder
auff	auf
ein	ein
friſches	frisches
zerſtoſſenes	zerstoßenes
kraut	Kraut
/	/

thue	Tue
es	es
wider	wieder
in	in
den	den
kolben	Kolben
zuſammen	zusammen
/	/

ſetze	Setze
den	den
andern	anderen
kolben	Kolben
wider	wieder
drauff	darauf
wol	wohl
vermacht	vermacht
/	/

ſetze	Setze
es	es
wider	wieder
ins	ins
Balneum	Balneum
Mariæ	Mariae
ſechs	sechs
tag	Tage
lang	lang
/	/

ſo	so
wirt	wird
aus	aus
dem	dem
waſſer	Wasser
ein	eine
dicke	dicke
farbe	Farbe
/	/

thu	tu
es	es
in	in
einen	einen
kolben	Kolben
zusammen	zusammen
/	/
vnd	und
diſtillir	destillier
das	das
waſſer	Wasser
mit	mit
gar	gar
lindem	lindem
fewer	Feuer
davon	davon
/	/

was	was
am	am
boden	Boden
des	des
kolben	Kolbens
bleibt	bleibt
/	/
das	das
nimb	nimm
heraus	heraus
/	/

thue	tue
es	es
in	in
ein	ein
ſaͤcklein	Säcklein
/	/
vnd	und
preſſe	presse
es	es
aus	aus
/	/

vermach	vermach
den	den
andern	anderen
kolben	Kolben
faͤſt	fest
darauff	darauf
/	/
vnnd	und
ſetze	setze
es	es
vier	vier
tag	Tage
ins	ins
Balneum	Balneum
Mariæ	Mariae
,	,

denn	dann
mach	mach
es	es
auff	auf
/	/
vnnd	und
nimb	nimm
es	es
herauſz	heraus
/	/

Alſo	Also
haſtu	hast du
wie	wie
man	man
auſz	aus
allen	allen
Kreuttern	Kräutern
ein	ein
waſſer	Wasser
/	/
vnd	und
ein	einen
herrlichen	herrlichen
ſafft	Saft
diſtillirn	destillieren
vnd	und
brennen	brennen
kan	kann
/	/
et. c.	etc.

Ohl	Öl
auſz	aus
Kreutern	Kräutern

Die	Die
erſte	erste
art	Art
pag.	Seite
9.	9.
Die	Die
ander	andere
art	Art
ES	Es
ſindt	sind
auch	auch
mancherley	mancherlei
weg	Wege
oͤhl	Öl
auſz	aus
den	den
Kreuttern	Kräutern
fuͤr	für
ſich	sich
ſelber	selber
zu	zu
machẽ	machen
.	.

Erſtlichẽ	Erstlichen
durch	durch
dz	das
inſtrument	Instrument
wirt	wird
am	am
geſchwindeſten	geschwindesten
ein	ein
oͤhl	Öl
auſz	aus
Kreutern	Kräutern
diſtillirt	destilliert
/	/
wie	wie
oben	oben
iſt	ist
angezeigt	angezeigt
worden	worden
.	.

Zum	Zum
andern	anderen
/	/
wirdt	wird
auſz	aus
Kreuttern	Kräutern
vnnd	und
Samen	Samen
alſo	also
ein	ein
oͤhl	Öl
gemacht	gemacht
:	:

Nim	Nimm
den	den
Samen	Samen
oder	oder
die	die
Bletter	Blätter
von	von
einem	einem
Kraut	Kraut
/	/

thue	Tue
es	es
in	in
ein	ein
Glas	Glas
/	/
den	den
dritten	dritten
theil	Teil
voll	voll
/	/

geuſz	gieß
einen	einen
guten	guten
Malvaſier	Malvasier
daran	daran
/	/
daſz	dass
nur	nur
die	die
helffte	Hälfte
deſz	des
glaſzes	Glases
voll	voll
werde	werde
/	/
vnd	und
oben	oben
der	der
halbe	halbe
theil	Teil
leer	leer
bleibe	bleibe
/	/

verbinde	Verbinde
vnnd	und
vermache	vermache
das	das
glas	Glas
auffs	aufs
aller fleiſſigſte	allerfleißigste
/	/

ſetze	setze
es	es
an	an
die	die
Sonnen	Sonne
/	/
alſo	also
daſz	dass
es	es
ſtets	stets
an	an
der	der
Sonnen	Sonne
ſtehet	steht
/	/
vnnd	und
die	die
Sonne	Sonne
deſz	des
tages	Tages
ohne	ohne
vnterlaſz	Unterlass
darein	darein
ſcheine	scheine
/	/

dann	Dann
nimb	nimm
das	das
glas	Glas
/	/
mache	mache
es	es
auff	auf
/	/
thue	tue
dz	das
Kraut	Kraut
oder	oder
den	den
Samen	Samen
mit	mit
dem	dem
Maluaſier	Malvasier
auſz	aus
dem	dem
glas	Glas
in	in
einen	einen
reinen	reinen
Tiegel	Tiegel
oder	oder
Topff	Topf
/	/

laſz	lass
es	es
am	am
Kolfewer	Kohlfeuer
ein	ein
wenig	wenig
warm	warm
werden	werden
/	/

thue	Tue
es	es
alſz denn	alsdann
in	in
ein	ein
reines	reines
ſaͤcklein	Säcklein
/	/
vnd	und
preſſe	presse
es	es
auſz	aus
in	in
ein	ein
fein	feines
rein	reines
gefaͤſz	Gefäß
/	/

das	das
ſcheyde	scheide
davon	davon
/	/
vnd	und
heb	hebe
es	es
fleiſſig	fleißig
auff	auf
/	/

Dieſe	Diese
ander	andere
weiſz	Weise
gibt	gibt
wol	wohl
koͤſtlich	köstlich
gut	gutes
oͤhl	Öl
/	/
aber	aber
wenig	wenig
/	/
vnd	und
nicht	nicht
ſo	so
viel	viel
/	/
wie	wie
man	man
durchs	durch das
instrument	Instrument
zuwegen	zuwegen
bringt	bringt
/	/

ſie	sie
ſindt	sind
aber	aber
lieblich	lieblich
/	/
vnd	und
gar	gar
gut	gut
zu	zu
brauchen	gebrauchen
.	.

Eins	Eins
aber	aber
iſt	ist
allhier	allhier
zumerken	zu merken
/	/

wenn	wenn
mann	man
auſz	aus
Samen	Samen
ein	ein
oͤhl	Öl
durch	durch
den	den
erſten	ersten
vnnd	und
andern	anderen
weg	Weg
will	will
machen	machen
/	/
ſoll	soll
mann	man
allweg	allweg
den	den
Samen	Samen
fein	fein
klein	klein
zerſtoſſen	zerstoßen
/	/

ſo	So
gibt	gibt
er	er
deſto	desto
mehr	mehr
oͤhl	Öl
denn	denn
ſonſten	sonst
.	.

oͤhl	Öl
auſz	aus
holtz	Holz
per	per
deſcenſum	descensum
.	.

Lutum	Lutum
.	.

Circkelfewer	Zirkelfeuer
.	.

NImb	Nimm
waſerley	waserlei
holtz	Holz
du	du
wilt	willst
/	/

laſz	lass
es	es
groͤblich	gröblich
zu ſegen	zusägen
/	/
oder	oder
mit	mit
einer	einer
Raſpen	Raspel
zufeylen	zufeilen
/	/

den	den
fuͤlle	fülle
mit	mit
ſpaͤnen	Spänen
vom	vom
holtz	Holz
wol	wohl
an	an
/	/

der	der
Kolbe	Kolben
muſz	muss
ein	einen
doppelten	doppelten
faltz	Falz
haben	haben
/	/
vnd	und
muſz	muss
der	der
halſz	Hals
des	des
Kolbens	Kolbens
fein	fein
enge	eng
ſein	sein
/	/

auch	Auch
in	in
dem	dem
oͤberſten	obersten
faltz	Falz
muſz	muss
ein	ein
Krantz	Kranz
ſein	sein
auſzgeſchnittẽ	ausgeschnitten
/	/
darein	darin
muſz	muss
ſich	sich
ein	ein
ſcheiblein	Scheiblein
von	von
Dan	Tannen
gemacht	gemacht
vnnd	und
gebrandt	gebrannt
eines	eines
tellers	Tellers
groſz	groß
fein	fein
ſchlieſſen	schließen
/	/

wende	Wende
das	das
ſcheiblein	Scheiblein
oben	oben
im	im
halſz	Hals
fein	fein
vmb	um
/	/

Nuhn	Nun
muſz	muss
ein	ein
ander	anderer
groſſer	großer
Kolbe	Kolben
ſein	sein
/	/
in	in
deſz	dessen
halſz	Hals
muſz	muss
ſich	sich
der	der
Kolbe	Kolben
mit	mit
den	den
ſpaͤhnen	Spänen
ſchicken	schicken
/	/
oder	oder
ſchlieſſen	schließen
/	/

ſtuͤrtze	stürze
den	den
einen	einen
Kolben	Kolben
mit	mit
den	den
ſpaͤhnen	Spänen
mit	mit
dem	dem
halſz	Hals
in	in
den	den
vnterſten	untersten
Kol⸗ben	Kolben
/	/
wie	wie
er	er
allhier	allhier
verzeichnet	verzeichnet
iſt	ist
/	/
vnd	und
nimb	nimm
ein	einen
guten	guten
Laimen	Leim
/	/
der	der
mit	mit
Ochſenblut	Ochsenblut
/	/
ſcherwollen	Schurwolle
vnnd	und
Pferdtmiſt	Pferdemist
iſt	ist
zugerichtet	zugerichtet
/	/
vnnd	und
verſchmiere	verschmiere
die	die
fugen	Fugen
wol	wohl
/	/

da	da
ſich	sich
die	die
Kolben	Kolben
in	in
einander	einander
ſchlieſſen	schließen
mit	mit
allem	allem
fleiſz	Fleiß
/	/
laſz	lass
es	es
von	von
jm	ihm
ſelbſten	selbst
trucken	trocken
werden	werden
/	/

das	das
loch	Loch
muſz	muss
ſo	so
groſz	groß
vnnd	und
tieff	tief
in	in
der	der
Erden	Erde
ſein	sein
/	/
daſz	dass
der	der
vnterſte	unterste
Kolb	Kolben
geraumb	geraum
darinnen	darin
ſtehen	stehen
kann	kann
/	/
vnd	und
wenn	wenn
du	du
jhn	ihn
mit	mit
der	der
Erden	Erde
wider	wieder
zudeckeſt	zudeckst
/	/
daſz	dass
mann	man
gar	gar
nichts	nichts
von	von
dem	dem
vnterſten	untersten
Kolben	Kolben
/	/
auch	auch
von	von
den	den
fugen	Fugen
/	/
da	da
ſie	sie
ſich	sich
in	in
einander	einander
ſchlieſſen	schließen
/	/
ſehen	sehen
kan	kann
/	/

bedecke	bedecke
vnnd	und
verſcharre	verscharre
den	den
vnterſten	untersten
Kolben	Kolben
mit	mit
der	der
Erden	Erde
gantz	ganz
vnd	und
gar	gar
/	/
alſo	also
daſz	dass
mann	man
nur	nur
deñ	den
oͤberſten	obersten
Kolben	Kolben
allein	allein
ſihet	sieht
/	/
vnd	und
trucke	drücke
die	die
Erde	Erde
mit	mit
der	der
handt	Hand
fein	fein
geheb	gehebe
vnd	und
feſt	fest
an	an
den	den
vnterſten	untersten
Kolben	Kolben
/	/

laſz	lass
das	das
Circkel	Zirkel-
oder	oder
rundt	runde
Kolfewer	Kohlenfeuer
gemachſam	gemachsam
angehen	angehen
/	/
vnnd	und
alle	alle
zwo	zwei
ſtunden	Stunden
ſchiebe	schiebe
das	das
Kolfewer	Kohlenfeuer
vmb	um
vnnd	und
vmbher	umher
dem	dem
Kolben	Kolben
naͤher	näher
/	/
biſz	bis
du	du
letzlichen	letztlich
all	all
das	das
kollfewer	Kohlenfeuer
vmbher	umher
hart	hart
an	an
den	den
kolben	Kolben
bringeſt	bringst
/	/

laſz	lass
das	das
kolfewer	Kohlenfeuer
vmb	um
jhn	ihn
ſelber	selber
abgehen	abgehen
/	/
vnnd	und
alles	alles
von	von
jhm	ihm
ſelber	selber
erkalten	erkalten
/	/

grab	grab
den	den
kolben	Kolben
auſz	aus
der	der
Erden	Erde
/	/

weiche	weiche
den	den
Laimen	Leim
auſz	aus
den	den
fugen	Fugen
mit	mit
einem	einem
naſſen	nassen
tuch	Tuch
abe	aber
/	/
hebe	hebe
den	den
oberſten	obersten
kolben	Kolben
von	von
dem	dem
vnterſten	untersten
/	/

ſo	so
wirſtu	wirst du
im	im
vnterſten	untersten
kolben	Kolben
ein	ein
oͤhl	Öl
vnnd	und
waſſer	Wasser
von	von
holtz	Holz
finden	finden
/	/

das	das
wirdt	wird
nach	nach
dem	dem
brandt	Brand
riechen	riechen
/	/

ſetze	setze
es	es
in	in
Balneum	Balneum
Mariæ	Mariae
,	,

laſz	lass
es	es
in	in
linder	linder
waͤrme	Wärme
vier	vier
wochen	Wochen
ſtehen	stehen
/	/

mach	mach
es	es
auff	auf
/	/

Alſo	Also
kanſtu	kannst du
auſz	aus
Wachholderbeer	Wachholderbeere
/	/
Roſzmarinholtz	Rosmarinholz
/	/
Cypreſſenholtz	Zypressenholz
/	/
vnnd	und
auſz	aus
allem	allem
andern	anderen
Holtz	Holz
/	/
ſo	so
du	du
nur	nur
begereſt	begehrst
/	/
ein	ein
oͤhl	Öl
haben	haben
vnd	und
Diſtillirn	destillieren
/	/
vnnd	und
dieſe	diese
Diſtillation	Destillation
iſt	ist
Diſtillatio	Distillatio
per	per
deſcenſum	descensum
.	.

Wie	Wie
auſz	aus
allen	allen
Kreuttern	Kräutern
/	/
Holtz	Holz
vnnd	und
Blettern	Blättern
ein	ein
Saltz	Salz
gemacht	gemacht
wirdt	wird
.	.

wann	wenn
das	das
Brodt	Brod
herauſz	heraus
gezogen	gezogen
iſt	ist
/	/
wann	wenn
es	es
recht	recht
duͤrre	dürr
/	/
ſo	so
lege	lege
es	es
auff	auf
einen	einen
reinen	reinen
herdt	Herd
/	/
zuͤnde	zünde
es	es
an	an
/	/
vnnd	und
brenne	brenne
es	es
zu	zu
einer	einer
Aſchen	Aschen
/	/

die	die
Aſche	Asche
thue	tue
in	in
ein	ein
reines	reines
tuͤchlein	Tüchlein
/	/
in	in
ein	ein
laugen ſchaͤfflein	Laugenschäfflein
/	/
ſo	so
vnten	unten
am	am
boden	Boden
voller	voller
loͤchlein	Löchlein
iſt	ist
/	/
mit	mit
Stro	Stroh
/	/
vnd	und
oben	oben
auff	auf
das	das
Stro	Stroh
das	das
leinen	leinene
tuͤchlein	Tüchlein
mit	mit
der	der
Aſchen	Asche
/	/

geuſz	gieß
darauff	darauf
ein	ein
reines	reines
warmes	warmes
Waſſer	Wasser
/	/
vnd	und
mach	mach
eine	eine
lauge	Lauge
wie	wie
gebraͤuchlich	gebräuchlich
/	/
davon	davon
/	/

alſo	also
daſz	dass
die	die
lauge	Lauge
fein	fein
lautter	lauter
vnd	und
klar	klar
herdurch	herdurch
flieſſe	fließe
/	/

dieſe	diese
klare	klare
laugen	Lauge
geuſz	gieß
in	in
ein	ein
kleines	kleines
tiegelein	Tiegelein
oder	oder
toͤpfflein	Töpflein
/	/
vnd	und
koche	koche
es	es
bey	bei
einem	einem
Kolfewer	Kohlenfeuer
gemachſam	gemachsam
ein	ein
/	/
daſz	dass
es	es
letzlich	letztlich
im	im
tiegel	Tiegel
gantz	ganz
trucken	trocken
wirdt	wird
/	/

diſz	dies
ſtich	stich
mit	mit
einem	einem
meſſer	Messer
vom	vom
Tigel	Tiegel
ab	ab
/	/
vnd	und
zutreib	zutreibe
ſolch	solch
ſaltz	Salz
auff	auf
einem	einem
Marmelſtein	Marmelstein
/	/
oder	oder
reibeyſen	Reibeisen
gantz	ganz
klein	klein
/	/

dz	das
waſſer	Wasser
geuſz	gieß
in	in
ein	einen
Tiegel	Tiegel
oder	oder
in	in
eine	eine
ſchuͤſſel	Schüssel
/	/

ſo	so
wirdt	wird
das	das
waſſer	Wasser
fein	fein
lauter	lauter
/	/
hell	hell
vnd	und
klar	klar
/	/
auſz	aus
dem	dem
tiegel	Tiegel
durch	durch
den	den
filtz	Filz
troͤpffe weiſz	tröpfeweise
in	in
das	das
vorgesatzte	vorgesetzte
ſchuͤſſelein	Schüssellein
flieſſen	fließen
/	/

ſo	so
wirſtu	wirst du
im	im
tiegel	Tiegel
ein	ein
ſchoͤnes	schönes
/	/
weiſſes	weißes
/	/
klares	klares
ſaltz	Salz
finden	finden
/	/
daſſelbe	dasselbe
heb	heb
fleiſſig	fleißig
auff	auf
/	/
denn	denn
in	in
dem	dem
iſt	ist
die	die
hoͤchſte	höchste
Tugent	Tugend
/	/
Krafft	Kraft
vnd	und
Wirckung	Wirkung
der	der
Kreuter	Kräuter
/	/

Abies	Abies
.	.

Namen	Namen
.	.

Figur	Figur
.	.

Oele	Öle
.	.

Vnd	und
hat	hat
ſeine	seine
Aſtlin	Ästlein
/	/
als	als
welche	welche
allein	allein
auff	auf
beyden	beiden
Seiten	Seiten
herauſz ſproſſen	heraussprossen
/	/
creutzweiſz	kreuzweise
vbereinander	übereinander
wachſen	wachsen
.	.

In	in
jhme	ihm
/	/
dem	dem
Baum	Baum
/	/
entſtehet	entsteht
die	die
Feuchtigkeit	Feuchtigkeit
oder	oder
Feiſte	Feißte
/	/
welche	welche
man	man
Lachrymam	lacrima
oder	oder
Thannenoͤl	Tannenöl
nennet	nennt
/	/
wird	wird
auſz	aus
den	den
Rinden	Rinden
vñ	und
Aſten	Ästen
in	in
gewiſſen	gewissen
Blaͤſzlin	Bläslein
geſamblet /	gesammelt

welche	welche
Blaͤſzlin	Bläslein
/	/
wenn	wenn
ſie	sie
ſolches	solches
Oels	Öls
voll	voll
ſind	sind
/	/
ſich	sich
võ	von
demſelbigen	demselben
auffblaͤhẽ	aufblähen
/	/
vnnd	und
alſo	also
das	das
Oele	Öl
in	in
jnen	ihnen
verrahten	verraten
.	.

bekompt	bekommt
/	/
wenn	wenn
es	es
das	das
Alter	Alter
eines	eines
Jahrs	Jahrs
erlangt	erlangt
/	/
ein	eine
gelbe	gelbe
Farb	Farbe
vnd	und
harte	harte
Subſtantz	Substanz
