sobre	Sobre
flota	flota
	,
sin	sin
haçer	hacer
assegurar	asegurar
cosa	cosa
ninguna	ninguna

porque	Porque
	,
ya	ya
que	que
me	me
sentenzien	sentencien
por	por
la	la
corona	Corona
	,
por	por
los	los
dyneros	dineros
estare	estaré
toda	toda
mi	mi
vida	vida

mas	Mas
os	os
ago	hago
saber	saber
que	que
viene	viene
en	en
fin	fin
d	de
este	este
mes	mes
la	la
corte	corte
a	a
esta	esta
villa	villa
	,
porque	porque
an	han
venido	venido
los	los
aposentadores	aposentadores

y	Y
en	en
estas	éstas
a	a
mi	mi
tio	tío
dezi	decid
	,
señor	señor
	,
que	que
lo	lo
que	que
tengo	tengo
dicho	dicho
are	haré
y	y
mas	más
	,
porqu	porque
es	es
muy	muy
mucha	mucha
Razon	razón
y	y
soy	soy
obligado	obligado
de	de
azer	hacer
todo	todo
lo	lo
que	que
me	me
mandare	mandare

acuerdese	Acuérdese
d	de
ella	ella
quando	cuando
escriba	escriba
	,
q	que
vasttara	bastará
pa	para
traerles	traerles
esperen	esperen
un	un
dia	día

y	Y
rrequyerelo	requiérelo
muy	muy
a	a
menudo	menudo
	,
q	que
se	se
huelga	huelga
d	de
ello	ello
	,
q	que
es	es
muy	muy
deseoso	deseoso
de	de
amor	amor

y	Y
tu	tú
rresponde	responde
a	a
xpo	XPO

an	Han
quemado	quemado
a	a
luis	Luis
perez	Pérez
y	y
a	a
juo	Julio
nuñez	Núñez
	,
el	el
viejo	viejo
.	,
y	y
a	a
niculas	Nicolás
vasquez	Vázquez
	,
çapatero	zapatero
.	,
y	y
a	a
juo	Julio
de	de
villada	Villada
.	--
y	y
a	a
pere	Pere
luis	Luis
.	--
y	y
a	a
franco	Francisco
perez	Pérez
	,
çapatero	zapatero
.	,
y	y
al	al
liçençiado	licenciado
ayllon	Ayllón
.	--
y	y
al	al
liçençiado	licenciado
casas	Casas
y	y
al	al
--	--
hijo	hijo
menor	menor
de	de
di	Diego
de	de
lara	Lara
	,
el	el
bachiller	bachiller
.	,
y	y
a	a
vascuñan	Vascuñán
	,
el	el
mercader	mercader
.	,
y	y
otros	otros
dos	dos
de	de
lorca	Lorca
.	--
y	y
dos	dos
de	de
toledo	Toledo
.	--
y	y
uno	uno
de	de
ubeda	Úbeda
y	y
dos	dos
moros	moros

yo	Yo
	,
de	de
tordehumos	Tordehumos
	,
25	25
de	de
abril	abril
de	de
83	83
	,
donde	donde
quedo	quedo
pa	para
lo	lo
que	que
sea	sea

y	Y
sy	si
quisiere	quisiere
estar	estar
comigo	comigo
	,
bien	bien
lo	lo
puede	puede
hazer	hacer
sin	sin
reçelo	recelo
nynguno	ninguno
.	;
y	y
si	si
alla	allá
con	con
vtamcd	VM
	,
tan	tan
byen	bien
proveydo	proveído
sera	será
en	en
una	una
parte	parte
como	como
en	en
otra	otra

ya	Ya
	,
señor	señor
	,
sabe	sabe
que	que
las	las
mugeres	mujeres
	,
por	por
gonçosas	gozosas
y	y
generos	generosas
d	de
esta	esta
tiera	tierra
son	son
corona	corona
de	de
mugeres	mujeres
de	de
todas	todas
las	las
del	del
mundo	mundo

benito	Benito
boyer	Boyer

Assi	Así
	,
le	le
doy	doy
libre	libre
comission	comisión
para	para
que	que
haga	haga
vm	VM
en	en
esto	esto
como	como
cosa	cosa
suia	suya
propia	propia
por	por
aviso	aviso

las	Las
galeras	galeras
son	son
xl	XL
y	y
ya	ya
an	han
venido	venido
a	a
cartagena	Cartagena
las	las
xv	XV
.	--
y	y
esperan	esperan
los	los
otros	otros
por	por
oras	horas

mi	Mi
tia	tía
ysabel	Isabel
hernandes	Hernández
llebola	llevola
dios	Dios
dia	Día
de	de
nabidad	Navidad

pageselo	Págueselo
dios	Dios
	,
q	que
yo	yo
no	no
puedre	podré

digale	Dígale
vm	VM
a	--
las	--
a	a
mi	mi
hera	hermana
que	que
su	su
encomienda	encomienda
la	la
tengo	tengo
puesta	puesta
en	en
horden	orden
pa	para
quando	cuando
vaya	vaya
plaziendo	placiendo
a	a
dios	Dios
	,
y	y
la	la
sarga	sarga
de	de
seda	seda
es	es
verdosa	verdosa
a	a
punto	punto
de	de
Raso	raso
muy	muy
linda	linda

por	Por
aca	acá
dizẽ	dicen
que	que
tienẽ	tienen
informaciõ	información
hecha	hecha

señor	Señor
	,
no	no
me	me
escrivays	escribáis
mas	más
carta	carta
si	si
no	no
fuere	fuere
d	de
esta	esta
lletra	letra
	,
porque	porque
me	me
las	las
leen	leen
antes	antes
que	que
me	me
las	las
den	den

supco	Suplico
a	a
Vm	VM
	,
si	si
no	no
lo	lo
toma	toma
por	por
pesadumbre	pesadumbre
	,
me	me
haga	haga
un	un
cabeçon	cabezón
	,
porq	porque
me	me
haçe	hace
mi	mi
hera	hermana
unas	unas
camisas	camisas
y	y
no	no
qrria	querría
dalle	darle
tanto	tanto
trabajo	trabajo

y	Y
si	si
el	él
no	no
lo	lo
comprara	comprara
	,
no	no
faltara	faltara
otro	otro
o	o
embiara	enviara
alla	allá
un	un
criado	criado
para	para
venderlos	venderlos
	;
y	y
	,
pues	pues
que	que
las	las
mas	más
ruines	ruines
mercaderias	mercaderías
	,
quanto	cuanto
mas	más
esto	esto
	,
que	que
es	es
flor	flor

y	Y
las	las
dichas	dichas
quarenta	cuarenta
caxas	cajas
de	de
libros	libros
	,
y	y
con	con
sus	sus
çerraduras	cerraduras
y	y
llaves	llaves
	,
y	y
marcadas	marcadas
de	de
la	la
marca	marca
de	de
fuera	fuera
de	de
no	número
uno	uno
a	a
quarenta	cuarenta
	,
bien	bien
acondiçionadas	acondicionadas
	,
que	que
assi	así
las	las
mandara	mandará
vm	VM
Reçibir	recibir
	;
y	y
donde	donde
no	no
	,
q	que
pague	pague
el	el
dho	dicho
maestre	maestre
el	el
daño	daño
que	que
oviere	hubiere
	,
que	que
dios	Dios
no	no
quiera	quiera

y	Y
solo	sólo
querria	querría
mucho	mucho
que	que
vm	VM
me	me
hiciese	hiciese
mrd	merced
de	de
embiarme	enviarme
una	una
buena	buena
mema	memoria
	,
por	por
dos	dos
copias	copias
	,
de	de
todos	todos
los	los
libros	libros
q	que
en	en
essa	esa
tierra	tierra
son	son
buenos	buenos
	,
aceptos	aceptos
y	y
muy	muy
vendibles	vendibles
	,
y	y
como	cómo
an	han
de	de
yr	ir
enquadernados	encuadernados
	,
porq	porque
tengo	tengo
comodidad	comodidad
porq	porque
trato	trato
en	en
todas	todas
partes	partes
de	de
hacellos	hacerlos
venir	venir

y	Y
pues	pues
Vm	VM
	,
mi	mi
bida	vida
	,
be	ve
qu	que
esto	esto
yo	yo
no	no
lo	lo
quiero	quiero
para	para
mi	mí
y	y
sino	sino
para	para
q	que
podamos	podamos
con	con
lo	lo
que	que
yo	yo
tengo	tengo
Estar	estar
y	y
tener	tener
a	a
Vm	VM
como	como
mereçe	merece
	,
supco	suplico
yo	yo
esto	esto
a	a
Vm	VM
	,
porq	porque
si	si
no	no
me	me
diesen	diesen
un	un
marabedi	maravedí
no	no
por	por
eso	eso
dejare	dejaré
de	de
hazerlo	hacerlo

ast	Hasta
aora	ahora
	,
s	señor
	,
no	no
os	os
e	he
enviado	enviado
a	a
llamar	llamar
por	por
pensar	pensar
que	que
de	de
otra	otra
arte	arte
se	se
yziera	hiciera
	;
mas	mas
	,
como	como
ya	ya
veo	veo
deRota	derrota
mis	mis
negozios	negocios
	,
no	no
puedo	puedo
menos	menos
azer	hacer
sino	sino
	,
señor	señor
	,
que	que
vengays	vengáis
luego	luego
anque	aunque
dejeys	dejéis
	,
señor	señor
	,
la	la
ylesia	iglesia

y	Y
holgara	holgara
ser	ser
yo	yo
el	el
mensagero	mensajero
por	por
contentar	contentar
a	a
la	la
sa	señora
mi	mi
hera	hermana

Fecha	Fecha
a	a
veyte	veinte
y	y
iiiio	IIIIo
de	de
novienbre	noviembre
d	de
este	este
presente	presente
año	año

y	Y
en	en
esto	esto
no	no
ay	hay
mas	más
que	que
azer	hacer
por	por
ora	ahora
asta	hasta
que	que
vengays	vengáis

el	El
año	año
de	de
noventa	noventa
y	y
siete	siete
	,
dia	día
de	de
santa	Santa
marta	Marta
bienaventurada	Bienaventurada
	,
quando	cuando
el	el
mayorazo	mayorazgo
aze	hace
la	la
fiesta	fiesta
por	por
el	el
dia	día
de	de
su	su
nacimiento	nacimiento
	,
enteramos	enterramos
a	a
ana	Ana
garcia	García
la	la
roldana	Roldana
en	en
santiago	Santiago
de	de
torefranca	Torrefranca

y	Y
encomendaos	encomendaos
sienpre	siempre
a	a
la	la
virgen	Virgen
de	de
gia	Guía
	,
qu	que
ella	ella
os	os
tenga	tenga
de	de
su	su
mano	mano

amen	Amén

y	Y
si	si
escrevierdes	escribierdes
primero	primero
que	que
vengays	vengáis
	,
escrevi	escribid
d	de
estas	estas
zifras	cifras
porque	porque
no	no
me	me
las	las
lean	lean

señora	Señora
de	de
mi	mi
bida	vida

y	Y
esto	esto
del	del
secreto	secreto
encargo	encargo
a	a
Vm	VM
	,
q	que
ba	va
mucho	mucho

y	Y
esto	esto
es	es
lo	lo
q	que
nos	nos
pide	pide

Señores	Señores

y	Y
no	no
tengo	tengo
quien	quien
aga	haga
por	por
mi	mí
	,
si	si
no	no
es	es
dios	Dios
del	del
zielo	cielo

las	Las
galeras	galeras
estam	están
esperando	esperando
por	por
oras	horas
el	el
galeon	galeón
de	de
portugal	Portugal
pa	para
llevar	llevar
socorro	socorro

y	Y
de	de
toremilano	Torremilano
	,
y	y
de	de
abril	abril
trece	trece
de	de
1598	1598
años	años
para	para
lo	lo
que	que
nos	nos
querais	queráis
mandar	mandar
	,
veso	vuestro
padre	padre
y	y
madre	madre
	,
sebastian	Sebastián
de	de
alcudia	Alcudia
y	y
mari	Mari
plazuela	Plazuela
y	Y
no	no
dejeis	dejéis
de	de
escrivirnos	escribirnos
	,
porque	porque
con	con
la	la
cartas	cartas
que	que
veamos	veamos
sera	será
gran	gran
contento	contento
para	para
nosotros	nosotros

y	Y
no	no
tiene	tiene
raçon	razón
de	de
quejarse	quejarse
dicho	dicho
s	señor
trevino	Treviño
	,
porque	porque
los	los
preçios	precios
son	son
muy	muy
moderados	moderados
	,
y	y
no	no
los	los
puso	puso
andrea	Andrea
pesçioni	Pescioni
ni	ni
nadie	nadie
de	de
sevilla	Sevilla
	,
sino	sino
porq	porque
compravan	compraban
a	a
mi	mi
sobrino	sobrino
	,
ju	Juan
boyer	Boyer
	,
dichas	dichas
caxas	cajas
en	en
sevilla	Sevilla
	;
y	y
	,
porq	porque
no	no
se	se
las	las
quiso	quiso
dar	dar
	,
de	de
invidia	envidia
escrevieron	escribieron
algunos	algunos
esto	esto
alla	allá
	,
q	que
no	no
tuvieron	tuvieron
raçon	razón
	,
y	y
los	los
preçios	precios
se	se
pusieron	pusieron
en	en
salamanca	Salamanca
	,
y	y
aun	aún
menos	menos
de	de
otras	otras
memorias	memorias
de	de
los	los
q	que
alla	allá
embian	envían

	)
y	Y
q	que
esta	esta
venta	venta
se	se
hiço	hizo
con	con
el	el
senior	señor
juan	Juan
de	de
trevino	Treviño
	,
a	a
pagar	pagar
dos	dos
mill	mil
y	y
seiscientos	seiscientos
y	y
quarenta	cuarenta
pesos	pesos
para	para
esta	esta
primera	primera
flotta	flota
	;
y	y
los	los
demas	demás
pesos	pesos
que	que
montaren	montaren
	,
para	para
otra	otra
--	--
--	--
--	--
flotta	flota
la	la
mitad	mitad
	;
y	y
la	la
otra	otra
mitad	mitad
	,
pa	para
otra	otra

mandara	Mandará
vm	VM
Reçibir	recibir
	,
o	o
quien	quien
su	su
poder	poder
uviere	hubiere
Recibir	recibir
	,
en	en
el	el
puerto	puerto
de	de
st	santo
Juan	Juan
de	de
Ulua	Ulúa
dicha	dicha
mra	mercadería
	,
bien	bien
tratada	tratada
y	y
condicionada	condicionada
	,
como	como
dicho	dicho
es	es
	,
sin	sin
pagarle	pagarle
del	del
porte	porte
	,
flete	flete
ny	ni
averias	averías
cosa	cosa
ninguna	ninguna
d	de
ello	ello
	;
porq	porque
	,
como	como
consta	consta
por	por
dichos	dichos
conocimientos	conocimientos
	,
yo	yo
le	le
e	he
pagado	pagado
aqui	aquí
todos	todos
los	los
gastos	gastos
y	y
portes	portes

Ju	Juan
muñoz	Muñoz
	,
en	en
una	una
carta	carta
suya	suya
	,
yzo	hizo
relacion	relación
que	que
abia	había
estado	estado
con	con
vos	vos
en	en
la	la
ciudad	ciudad
de	de
los	Los
angeles	Ángeles
y	y
dize	dice
que	que
estais	estáis
solo	solo
	,
que	que
vuestro	vuestro
ermano	hermano
martin	Martín
de	de
alcudia	Alcudia
se	se
paso	pasó
al	al
reyno	Reino
de	de
la	la
china	China
y	y
que	que
no	no
quiso	quiso
ser	ser
rico	rico
en	en
esa	esa
ciudad	ciudad

byen	Bien
la	la
vta	vuestra
cada	cada
momyento	momento

y	Y
que	que
ai	hay
en	en
esa	esa
tiera	tierra
gente	gente
	,
digo	digo
	,
mugeres	mujeres
viçiosas	viciosas

	¡
o	Oh
	,
vendito	bendito
sea	sea
tal	tal
amygo	amigo
y	y
tal	tal
señor	señor
y	y
dulcisymo	dulcísimo
e	en
las	las
entrañas	entrañas
donde	donde
mora	mora
	,
--	--
o	oh
	,
my	mi
alma	alma
	!
y	Y
no	no
salga	salga
de	de
tus	tus
etrañas	entrañas
ta	tan
rryco	rico
huesped	huésped
seyle	serle
inportuna	importuna
	,
q	que
todo	todo
lo	lo
q	que
pidieres	pidieres
te	te
dara	dará
y	y
mas	más
aun	aún
de	de
lo	lo
q	que
sabes	sabes
pedir	pedir

el	El
qu	que
esta	está
con	con
mas	más
deseo	deseo
de	de
ber	ver
a	a
vm	VM
qu	que
escribir	escribir
	,
su	su
hero	hermano
Jeronimo	Jerónimo
amat	Amat
a	A
luis	Luis
de	de
ayllon	Ayllón
el	el
jurado	jurado
y	y
a	a
su	su
hero	hermano
juo	Julio
de	de
aillon	Ayllón
an	han
prendido	prendido
en	en
la	la
inquisiçion	Inquisición

agora	Ahora
de	de
nuebo	nuevo
an	han
prendido	prendido
a	a
una	una
hija	hija
de	de
do	Diego
de	de
lara	Lara
	—
la	la
mayor	mayor
	—
y	y
a	a
do	Diego
perez	Pérez
el	el
de	de
junto	junto
a	a
la	la
carçel	cárcel
y	y
a	a
la	la
de	de
guebara	Guevara
	,
el	el
platero	platero
	,
y	y
a	a
dos	dos
hijas	hijas
.	--
y	y
a	a
la	la
de	de
franco	Francisco
perez	Pérez
	,
el	el
çapatero	zapatero
	,
y	y
a	a
otros	otros
que	que
no	no
se	sé
sus	sus
nonbres	nombres

y	Y
si	si
	,
s	señor
	,
os	os
tardays	tardáis
	,
podra	podrá
ser	ser
q	que
no	no
me	me
alleys	halléis
vibo	vivo

del	Del
d	de
antonyo	Antonio
yo	yo
os	os
pormeto	prometo
y	y
doy	doy
my	mi
fee	fe
q	que
nunca	nunca
en	en
ello	ello
se	se
haga	haga
nynguna	ninguna
cosa	cosa
por	por
my	mi
consentymyento	consentimiento
ny	ni
nunca	nunca
en	en
ello	ello
le	le
hablare	hablare

suplico	Suplico
a	a
vm	VM
m	me
escriba	escriba
largo	largo
y	y
claro	claro
	,
dandome	dándome
aviso	aviso
de	de
su	su
salud	salud
y	y
de	de
la	la
sa	señora
hera	hermana
y	y
de	de
la	la
sa	señora
madre	madre
y	y
hera	hermana
de	de
vm	VM
y	y
de	de
toda	toda
la	la
casa	casa
.	,
porque	porque
yo	yo
lo	lo
deseo	deseo
infinito	infinito

y	Y
quedo	quedo
rogando	rogando
a	a
nro	Nuestro
sr	Señor
la	la
Ilte	ilustre
persona	persona
de	de
vm	VM
guarde	guarde
y	y
prospere	prospere
muchos	muchos
años	años
	,
como	como
sus	sus
servidores	servidores
deseamos	deseamos

y	Y
le	le
dy	di
q	que
esta	ésta
es	es
para	para
ella	ella
tabye	también
	,
y	y
q	que
mucho	mucho
cuydado	cuidado
e	he
tenydo	tenido
d	de
ella	ella
	,
y	y
q	que
le	le
suplico	suplico
sea	sea
de	de
grand	gran
anymo	ánimo
y	y
no	no
tan	tan
encogida	encogida
y	y
de	de
poco	poco
coraço	corazón
	,
q	que
yo	yo
confio	confío
en	en
nro	Nuestro
dios	Dios
le	le
ara	hará
muchas	muchas
merçedes	mercedes

hoy	Hoy
dia	día
de	de
la	la
fecha	fecha
d	de
esta	ésta
	,
qu	que
es	es
a	a
xx	XX
de	de
mayo	mayo
	,
dia	Día
de	de
la	la
asension	Ascensión
	,
se	se
a	ha
çelebrado	celebrado
auto	auto
de	de
la	la
sta	Santa
ynquisiçion	Inquisición

a	A
la	la
señora	señora
madre	madre
de	de
vm	VM
y	y
hera	hermana
beso	beso
sus	sus
manos	manos
y	y
que	que
tenga	tenga
esta	ésta
por	por
suya	suya

y	Y
ansi	así
le	le
pido	pido
	,
pa	para
que	que
del	del
todo	todo
sea	sea
presto	presto
esta	ésta
	,
me	me
escriba	escriba
por	por
todas	todas
las	las
vias	vías
posibles	posibles
	,
pues	pues
yo	yo
no	no
tengo	tengo
otro	otro
via	vía
mas	más
de	de
saber	saber
de	de
su	su
salud	salud
	,
la	la
qual	cual
le	le
de	dé
nuestro	Nuestro
sr	Señor
como	como
esta	esta
su	su
esclaba	esclava
y	e
hijos	hijos
lo	lo
an	han
menester	menester

y	y
de	de
la	la
dicha	dicha
mra	mercadería
mandare	mandare
vm	VM
proceder	proceder
y	y
haçer	hacer
lo	lo
siguiente	siguiente
d	de
ello	ello

no	No
se	se
a	ha
de	de
tener	tener
por	por
trabajoso	trabajoso
el	el
camino	camino
	,
sino	sino
por	por
muy	muy
dichoso	dichoso
y	y
regalado	regalado

El	El
q	que
quiRie	queríe
mas	más
estar	estar
con	con
Vm	VM
que	que
screbirle	escribirle
	,
P	P

a	A
mandamiento	mandamiento
de	de
vasmds	VMs
	,
po	Pedro
lopez	López
de	de
la	la
cañada	Cañada
Señores	Señores
	,
vasmd	VMs
no	no
esperen	esperen
mas	más
cartas	cartas
de	de
mi	mí
	,
porque	porque
yo	yo
ya	ya
no	no
puedo	puedo
escrevir	escribir
con	con
las	las
prisiones	prisiones
que	que
me	me
an	han
echado	echado

y	Y
estoy	estoy
con	con
gran	gran
pena	pena
por	por
no	no
saber	saber
de	de
la	la
salud	salud
de	de
vsmds	VMs

d	Do
estos	éstos
	,
montan	montan
los	los
gastos	gastos
	,
fletes	fletes
y	y
otra	otra
cosas	cosas
que	que
he	he
gastado	gastado
por	por
envio	envío
de	de
las	las
dichas	dichas
quarenta	cuarenta
caxas	cajas
nueve	nueve
mill	mil
y	y
ochocientos	ochocientos
y	y
Veintetres	veintitrés
R	reales
	;
y	y
en	en
reales	reales
de	de
contado	contado
lo	lo
e	he
pagado	pagado
todo	todo
	,
como	como
vm	VM
bera	verá
por	por
el	el
menudo	menudo
	,
cada	cada
cosa	cosa
por	por
si	sí
	;
por	por
el	el
menudo	menudo
	,
en	en
fin	fin
	,
de	de
la	la
memoria	memoria
de	de
las	las
dichas	dichas
quarenta	cuarenta
caxas	cajas
con	con
sus	sus
preçios	precios
	,
a	a
que	que
me	me
remito	remito

y	Y
en	en
ello	ello
suplico	suplico
a	a
vm	VM
que	que
no	no
aya	haya
falta	falta
y	y
que	que
lo	lo
procure	procure
vm	VM
con	con
todo	todo
cuydado	cuidado
	,
para	para
que	que
yo	yo
cobre	cobre
presto	presto
con	con
los	los
demas	demás
los	los
dichos	dichos
nueve	nueve
mill	mil
y	y
ochoçientos	ochocientos
y	y
Vtetres	veintitrés
R	reales
que	que
he	he
pagado	pagado
aqui	aquí
en	en
Reales	reales
de	de
contado	contado
por	por
el	el
envio	envío
de	de
la	la
dicha	dicha
mercaderia	mercadería
	;
porq	porque
	,
como	como
se	se
vino	vino
tarde	tarde
a	a
cargarla	cargarla
	,
no	no
alle	hallé
quien	quién
la	la
quisiese	quisiese
llevar	llevar
sino	sino
pagando	pagando
todos	todos
los	los
portes	portes
y	y
fletes	fletes
d	de
ello	ello

y	Y
ya	ya
que	que
estaba	estaba
aqui	aquí
	,
para	para
que	que
no	no
quedara	quedara
atras	atrás
	,
lo	lo
e	he
pagado	pagado
todo	todo
	,
a	a
lo	lo
qual	cual
tenga	tenga
vm	VM
miramiento	miramiento
	,
le	le
supco	supplico
como	como
buen	buen
amigo	amigo

conq	Conque
no	no
Era	era
las	las
seys	seis
y	y
andaba	andaba
ya	ya
por	por
la	la
calle	calle

y	Y
	,
por	por
tanto	tanto
	,
no	no
se	se
abia	había
de	de
escrevir	escribir
de	de
tal	tal
modo	modo
	,
porq	porque
avian	habían
de	de
pensar	pensar
que	que
las	las
cartas	cartas
las	las
avian	habían
de	de
ver	ver
y	y
de	de
leer	leer
primero	primero
que	que
yo	yo
	,
porque	porque
estando	estando
yo	yo
en	en
la	la
carzel	cárcel
no	no
puedo	puedo
yo	yo
yr	ir
por	por
ellas	ellas
mas	más

Aclarome	Aclárome
y	y
digo	digo
que	que
	,
queriendo	queriendo
comprar	comprar
un	un
libro	libro
o	u
otras	otras
personas	personas
d	de
essa	esa
tierra	tierra
una	una
caxa	caja
	,
dos	dos
	,
tres	tres
o	o
mucho	mucho
mas	más
d	de
esta	esta
cargaçon	cargazón
	,
que	que
no	no
pueda	pueda
desechar	desechar
ningunos	ningunos
libros	libros
de	de
las	las
dichas	dichas
caxas	cajas
y	y
numeros	números
que	que
tomare	tomare
	,
como	como
pareçera	parecerá
por	por
la	la
mra	memoria
	,
porq	porque
los	los
unos	unos
an	han
de	de
haçer	hacer
vender	vender
los	los
otros	otros
y	y
las	las
caxas	cajas
no	no
se	se
an	han
de	de
desasortir	desasortir
de	de
como	como
van	van

de	De
medina	Medina
del	del
campo	Campo
	,
25	25
de	de
mayo	mayo
1584	1584
Ilte	Ilustre
señor	señor
	,
Beso	besa
las	las
manos	manos
de	de
vm	VM
su	su
muy	muy
cierto	cierto
svidor	servidor
	,
Benito	Benito
boyer	Boyer
Ilte	Ilustre
señor	señor

en	En
lo	lo
demas	demás
	,
veo	veo
como	cómo
luego	luego
procuro	procuró
vm	VM
con	con
el	el
cuidado	cuidado
posible	posible
la	la
venta	venta
d	de
estas	estas
caxas	cajas
	,
las	las
quales	cuales
	,
por	por
ser	ser
muchas	muchas
y	y
por	por
otras	otras
raçones	razones
que	que
vm	VM
me	me
avisa	avisa
	,
no	no
pudo	pudo
venderlas	venderlas
por	por
mas	más
de	de
a	a
quarenta	cuarenta
por	por
co	ciento
	(
coste	coste
de	de
los	los
libros	libros
	,
caxas	cajas
y	y
esteras	esteras
	,
y	y
otras	otras
cosas	cosas

y	Y
ver	ver
el	el
poco	poco
despacho	despacho
que	que
vm	VM
me	me
dize	dice
ay	hay
de	de
libros	libros
	,
y	y
lo	lo
mal	mal
que	que
se	se
venden	venden
a	a
causa	causa
de	de
las	las
revueltas	revueltas
entre	entre
clerigos	clérigos
y	y
frayles	frailes
	,
me	me
desanimo	desanimó
	;
pero	pero
el	el
año	año
que	que
viene	viene
lo	lo
embiare	enviaré
por	por
la	la
orden	orden
que	que
vm	VM
avisa	avisa
	,
que	que
	,
gracias	gracias
a	a
dios	Dios
	,
Tengo	tengo
tan	tan
buena	buena
comodidad	comodidad
como	como
quantos	cuantos
ay	hay

an	Han
engañado	engañado
algunas	algunas
personas	personas
q	que
le	le
servian	servían
a	a
vm	VM
por	por
amigo	amigo

no	No
se	se
sabe	sabe
cosa	cosa
ninguna	ninguna
mas	más

vm	VM
mandara	mandará
vender	vender
y	y
beneficiar	beneficiar
luego	luego
la	la
dicha	dicha
mra	mercadería
con	con
todo	todo
el	el
mas	más
provecho	provecho
y	y
ganançia	ganancia
que	que
fuere	fuere
possible	posible
por	por
my	mi
quenta	cuenta
	,
vendiendolo	vendiéndolo
a	a
una	una
o	o
diversas	diversas
personas	personas
	,
a	a
pagar	pagar
luego	luego
de	de
contado	contado

y	Y
con	con
esto	esto
estoy	estoy
desesperado	desesperado
por	por
verme	verme
cargado	cargado
de	de
prisiones	prisiones
con	con
tal	tal
tienpo	tiempo
por	por
mi	mi
enfermedad	enfermedad
y	y
las	las
cosas	cosas
que	que
paso	paso
aca	acá
con	con
esta	esta
jente	gente

y	Y
que	que
vasmds	VMs
se	se
lo	lo
Ruegen	rueguen
mui	muy
mucho	mucho
a	a
mi	mi
tio	tío
que	que
venga	venga
aca	acá
	,
que	que
ansi	así
le	le
enbio	envío
a	a
llamar	llamar

y	Y
con	con
esta	esta
determinacion	determinación
y	y
tan	tan
mirado	mirado
	,
este	este
libro	libro
esta	está
acepto	acepto
y	y
vendible	vendible
por	por
aca	acá
	,
que	que
jamas	jamás
se	se
a	ha
visto	visto
tal	tal
un	un
libro	libro
	,
y	y
no	no
yran	irán
por	por
alla	allá
ningunas	ningunas
	,
de	de
suerte	suerte
que	que
el	el
s	señor
trevino	Treviño
podra	podrá
vender	vender
bien	bien
las	las
suyas	suyas

soplico	Suplico
a	a
vuestras	vuestras
merzedes	mercedes
que	que
vengan	vengan
muy	muy
vrebe	breve
y	y
que	que
traygan	traigan
despacho	despacho
	,
como	como
dicho	dicho
tengo	tengo
	,
porque	porque
salga	salga
de	de
aqui	aquí
	,
porque	porque
en	en
verdad	verdad
que	que
e	he
miedo	miedo
que	que
me	me
e	he
de	de
tullezer	tullecer
en	en
esta	esta
carzel	cárcel
con	con
--	--
las	las
prisiones	prisiones
que	que
tengo	tengo

y	Y
q	que
nro	Nuestro
sor	Señor
les	les
de	dé
muncha	mucha
salud	salud
como	como
yo	yo
deseo	deseo
pa	para
mi	mí

y	Y
esto	esto
aveys	habéis
de	de
avisar	avisar
a	a
mi	mi
tio	tío
	,
porque	porque
no	no
va	va
en	en
su	su
carta	carta

ame	Amén
	,
al	al
qual	cual
sea	sea
gloria	gloria

agora	Ahora
se	se
a	ha
ofreçido	ofrecido
nicolas	Nicolás
hernandez	Hernández
	,
qu	que
es	es
el	el
portador	portador
d	de
esta	ésta

esta	Esta
cra	carta
es	es
de	de
ber	ver
	,
porque	porque
yo	yo
conçedo	concedo
en	en
todos	todos
los	los
requiebros	requiebros
y	y
no	no
consiento	consiento
que	que
en	en
carta	carta
ni	ni
en	en
persona	persona
minute	minute
se	se
diga	diga
ni	ni
piense	piense
palabra	palabra
tan	tan
pesada	pesada
que	que
es	es
mandarme	mandarme
jurar	jurar
en	en
otro	otro

de	De
las	las
ropas	ropas
q	que
os	os
han	han
dicho	dicho
tengo	tengo
enpeñadas	empeñadas
en	en
banco	banco
	,
no	no
os	os
han	han
dicho	dicho
vdad	verdad
.	,
q	que
todo	todo
quedo	quedó
como	como
cuple	cumple
y	y
en	en
poder	poder
de	de
quyen	quien
lo	lo
goardara	guardará
muy	muy
bien	bien
como	como
cosa	cosa
serya	seria

sr	Señor
	,
esta	ésta
es	es
copia	copia
de	de
otra	otra
mia	mía
escrita	escrita
a	a
vm	VM
	,
y	y
en	en
falta	falta
del	del
original	original
servira	servirá
la	la
presente	presente

soplico	Suplico
a	a
vamd	VM
que	que
no	no
me	me
desmanparen	desamparen
	,
pues	pues
que	que
nunca	nunca
me	me
an	han
desmanparado	desamparado
en	en
mui	muy
muchos	muchos
negozios	negocios
que	que
e	he
tenido	tenido
	,
pues	pues
que	que
ansi	así
lo	lo
quiere	quiere
mi	mi
ventura	ventura

de	De
Vm	VM
hasta	hasta
la	la
muerte	muerte
	,
P	P

y	Y
tengo	tengo
pacencia	pacencia
	,
pues	pues
no	no
se	se
pudo	pudo
vender	vender
mas	más
de	de
dichos	dichos
quarenta	cuarenta
por	por
ciento	ciento
	,
que	que
	,
cierto	cierto
	,
es	es
muy	muy
poco	poco
y	y
mucho	mucho
