Effter	Efter
buller	buller
i	i
bland	bland
de	de
andra	andra
almosehionen	allmosehjonen
.	.
	
Lieutnanten	Löjtnanten
Lidstrand	Lidstrand
,	,
med	med
alfwersamma	allvarsamma
skiel	skäl
,	,
sig	sig
utlät	utlät
,	,
at	att
det	det
,	,
som	som
i	i
detta	detta
måhl	mål
en	en
gång	gång
är	är
afslutadt	avslutat
,	,
bör	bör
och	och
skall	skall
stå	stå
fast	fast
,	,
både	både
för	för
skatlagda	skattlagda
och	och
oskatlagda	oskattlagda
emedan	emedan
allom	alla
tilkomma	tillkomma
at	att
wårda	vårda
sit	sitt
fattiga	fattiga
huus	hus
.	.
	
Här	Här
på	på
befordrades	befordrades
af	av
Sexmannen	Sexmannen
Anders	Anders
Simonsson	Simonsson
uti	uti
Nilstorp	Nilstorp
;	;
Skomakaren	Skomakaren
ifrån	ifrån
Simonstorp	Simonstorp
församling	församling
Eric	Eric
Olofsson	Olofsson
,	,
som	som
här	här
tils	tills
betienat	betjänat
Församlingens	Församlingens
inwånare	invånare
wid	vid
östgiöta	östgöta
gränsen	gränsen
med	med
sit	sitt
arbete	arbete
,	,
så	så
som	som
på	på
prof	prov
,	,
at	att
nu	nu
wid	vid
Mantalsskrifwningen	Mantalsskrivningen
få	få
skrivas	skrivas
för	för
församlingen	församlingen
i	i
bland	bland
de	de
andra	andra
gierningsmännen	gärningsmännen
:	:
	
Klagades	Klagades
mycket	mycket
öfwer	över
gamla	gamla
Pigan	Pigan
Brita	Brita
ifrån	ifrån
Koppartorp	Koppartorp
för	för
det	det
hon	hon
skall	skall
slå	slå
sig	sig
på	på
lätja	lättja
och	och
ej	ej
wilja	vilja
arbeta	arbeta
hos	hos
dem	dem
som	som
henne	henne
wid	vid
tilfällen	tillfällen
på	på
kalla	kalla
;	;
men	men
derjemte	därjämte
skal	skall
wara	vara
swår	svår
och	och
enträgen	enträgen
med	med
tiggande	tiggande
samt	samt
bruka	bruka
snatta	snatta
;	;
Brita	Brita
framträdde	framträdde
och	och
wille	ville
befria	befria
sig	sig
för	för
denna	denna
beskyllning	beskyllning
;	;
men	men
kunde	kunde
inte	inte
giöra	göra
sig	sig
frii	fri
;	;
Hwarföre	Varför
hon	hon
effter	efter
undfången	undfången
warning	varning
,	,
lofwade	lovade
ej	ej
mera	mera
i	i
dessa	dessa
måhl	mål
wara	vara
någon	någon
beswärlig	besvärlig
,	,
eller	eller
wisa	visa
snålhet	snålhet
.	.
§	§
24	24
.	.
	
Här	Här
på	på
stannade	stannade
församlingen	församlingen
i	i
det	det
slutet	slutet
,	,
at	att
Kreymans	Kreymans
änkia	änka
en	en
eller	eller
annan	annan
warnings	varnings
grad88	grad
undergå	undergå
skulle	skulle
.	.
	
Wälborna	Välborna
Herr	Herr
Lieutnant	Löjtnant
Lidstrand	Lidstrand
tillsade	tillsade
ock	ock
Häradsdomaren	Häradsdomaren
Nils	Nils
Nilsson	Nilsson
i	i
Remna	Remna
,	,
at	att
han	han
med	med
aldra	allra
första	första
måtte	måtte
uprätta	upprätta
Jnventarium	Inventarium
,	,
effter	efter
afl(edne	avlidne
)	)
N(ummer	Nummer
)	)
S(oldaten	Soldaten
)	)
Per	Per
Wallman	Wallman
,	,
på	på
det	det
barnet	barnet
,	,
som	som
nu	nu
förmedelst	förmedelst
Herr	Herr
Lieutenantens	Löjtnantens
Chrisel(ig)a	Kristliga
försorg	försorg
,	,
wårdas	vårdas
hos	hos
Eric	Eric
Johansson	Johansson
i	i
Qwabben	Qwabben
til	till
nästa	nästa
Michaelij	Michaelij
,	,
måtte	måtte
något	något
undfå	undfå
i	i
fädernearv	fädernearv
]	]
,	,
utaf	utav
sin	sin
stiufmoder	stugmoder
.	.
(	(
§	§
16	16
.	.
)	)
Behagade	Behagade
Församblingen	Församlingen
gunstigt	gunstigt
,	,
på	på
Kyrkoherdens	Kyrkoherdens
föreställande	föreställande
,	,
anordna	anordna
af	av
Fattigcassan	Fattigkassan
,	,
til	till
then	den
elendiga	eländiga
Munsterskrifwaren	Munsterskrivaren
Lundbom	Lundbom
,	,
6	6
dr	dr
kmt	kmt
.	.
(	(
§	§
17	17
.	.
)	)
Ehrhindrade	Erinrade
Herr	Herr
Lieutnant	Löjtnant
Lidstrand	Lidstrand
,	,
församblingens	församlingens
inwånare	invånare
i	i
gemene	gemen
,	,
at	att
när	när
Stamböcker2	Stamböcker
ankomma	ankomma
,	,
som	som
nu	nu
nyl(igen	nyligen
)	)
skiedt	skett
för	för
Hernösands	Hernösands
Kyrkia	Kyrka
,	,
mä	med
hwar	var
en	en
ther	där
til	till
gifwa	giva
,	,
som	som
behagar	behagar
,	,
samt	samt
så	så
mycket	mycket
han	han
har	har
råd	råd
och	och
ämne	ämne
til	till
.	.
(	(
§	§
18	18
.	.
)	)
Effter	Efter
egit	eget
påstående	påstående
,	,
förafskedades	föravskedades
fölliande	följande
Sexmän	Sexmän
:	:
	
Men	Men
som	som
Per	Per
Nilsson	Nilsson
ej	ej
sedermera	sedermera
fullbordat	fullbordat
sitt	sitt
löffte	löfte
,	,
så	så
resolverade	resolverade
Församblingen	Församlingen
at	att
be(mel)te	bemälda
folk	folk
,	,
med	med
det	det
fordeligaste	fordeligaste
skola	skola
afflyttia	avlytta
till	till
en	en
annan	annan
ort	ort
,	,
i	i
afseende	avseende
hwarpå	varpå
Sexmannen	Sexmannen
i	i
roten	roten
,	,
Johan	Johan
Johansson	Johansson
i	i
Sörgölet	Sörgölet
feck	fick
befallning	befallning
,	,
at	att
å	å
Församblingens	Församlingens
wägnar	vägnar
,	,
sådant	sådant
them	dem
förtyda	förtyda
.	.
§	§
5	5
.	.
	
Altså	Alltså
begärade	begärde
Pastor	Pastor
ödmjukt	ödmjukt
,	,
at	att
Församblingen	Församlingen
nu	nu
täcktes	täcktes
theröf(we)r	däröver
sig	sig
utlåta	utlåta
.	.
	
Hwarest	Varest
Erics	Erics
Jonsson	Jonsson
ifrån	ifrån
Båltsnäs	Båltsnäs
Soldatestufwa	Soldatstuga
,	,
samt	samt
g(am)la	gamla
Pigan	Pigan
Anna	Anna
Persdotter	Persdotter
ifrån	ifrån
Qwarnstufwan	Qwarnstufwan
,	,
nu	nu
för	för
tjden	tiden
wistas	vistas
!	!
	
Angående	Angående
then	den
i	i
Fattighuset	Fattighuset
wistande	vistande
flickan	flickan
Kierstin	Kierstin
Olofsdotter	Olofsdotter
,	,
som	som
,	,
oachtadt	oaktat
många	många
försök	försök
och	och
prof	prov
,	,
ännu	ännu
icke	icke
kunnat	kunnat
blifwa	bli
restituerad	restituerad
af	av
sin	sin
siukdom	sjukdom
,	,
behagade	behagade
Respective	Respektive
Herrskapet	Herrskapet
på	på
Erichsberg	Erichsberg
,	,
sig	sig
igenom	igenom
Herr	Herr
Lieutenant	Löjtnant
Lidstrand	Lidstrand
gunstigt	gunstigt
förklara	förklara
,	,
at	att
framdeles	framledes
willia	vilja
på	på
några	några
tienliga	tjänliga
utwägar	utvägar
wara	vara
betänkt	betänkt
,	,
som	som
til	till
bem(el)te	bemälda
flickas	flickas
hielp	hjälp
kunde	kunde
sig	sig
lämpa	lämpa
.	.
§	§
8	8
.	.
	
Begärde	Begärde
Wälborne	Välborne
Herr	Herr
Lieutenant	Löjtnant
Lidstrand	Lidstrand
,	,
at	att
komma	komma
i	i
ärfarenhet	erfarenhet
,	,
hwilka	vilka
wägar	vägar
,	,
utom	utom
den	den
allmänna	allmänna
Landswägen	Landsvägen
,	,
böra	böra
rätteligen	rätteligen
räcknas	räknas
för	för
Sockenwägar	Sockenvägar
?	?
	
Så	Så
wara	vara
passerat	passerat
,	,
betyga	betyga
på	på
Försambl(ingen)s	Församlingens
wägnar	vägnar
.	.
	
J	J
.	.
Dalenius	Dalenius
Pär	Pär
Pärsson	Pärsson
i	i
Högen	Högen
säxman	sexman
.	.
	
Kunnande	Kunnande
Eric	Eric
Erichson	Erichson
med	med
denna	denna
betjening	betjäning
,	,
så	så
mycket	mycket
bättre	bättre
komma	komma
ut	ut
,	,
soin	som
han	han
redan	redan
fått	fått
hielp	hjälp
af	av
SandwjiksSonen	SandwjiksSonen
,	,
som	som
för	för
detta	detta
warit	varit
i	i
Björckewjk	Björckewjk
.	.
§	§
6	6
.	.
	
Geringius	Geringius
till	till
,	,
som	som
årl(igen	årligen
)	)
är	är
BrunsDoctor	BrunnsDoktor
wid	vid
Medewi	Medewi
,	,
at	att
denna	denna
fattiga	fattiga
drängen	drängen
,	,
som	som
sielf	själv
intet	intet
har	har
något	något
at	att
kosta	kosta
på	på
sig	sig
,	,
kunde	kunde
blifwa	bli
antagen	antagen
i	i
Lazarettet	Lasarettet
wid	vid
bem(äl)te	bemälda
Brun	Brun
,	,
och	och
der	där
få	få
sin	sin
försörgning	försörjning
.	.
	
Högt	Högt
ålderstegna	ålderstigna
Änkan	Änkan
,	,
hustru	hustru
Kjerstin	Kjerstin
Ersd(otter	Ersdotter
)	)
,	,
som	som
sitter	sitter
i	i
hus	hus
i	i
mellang(ården	mellangården
)	)
,	,
Walla	Walla
,	,
och	och
hafwer	har
för	för
detta	detta
så	så
länge	länge
hon	hon
förmådde	förmådde
,	,
gjordt	gjort
församl(inge)n	församlingen
och	och
dess	dess
Barnaföderskor	Barnaföderskor
mycken	mycken
tjenst	tjänst
,	,
kommer	kommer
at	att
hädaneffter	hädanefter
åtniuta	åtnjuta
samma	samma
förmohn	förmån
i	i
Hospitalet	Hospitalet
,	,
som	som
den	den
förra	förra
,	,
dock	dock
begärade	begärde
Sexmannen	Sexmannen
Lars	Lars
Larson	Larson
i	i
St.	St.
Fräntorp	Fräntorp
på	på
hustru	hustru
Kjerstins	Kjerstins
wägnar	vägnar
,	,
at	att
henne	henne
frihet	frihet
lemnas	lämnas
måtte	måtte
,	,
förblifwa	förbli
i	i
lilla	lilla
stufwan	stugan
wid	vid
Walla	Walla
till	till
hösten	hösten
,	,
som	som
henne	henne
icke	icke
kunde	kunde
förwägras	förvägras
,	,
så	så
wida	vida
respective	respektive
Härrskapet	Herrskapet
på	på
Ericksberg	Ericksberg
sådant	sådant
tillåta	tillåta
willa	vilja
.	.
§	§
21	21
.	.
	
Fingo	Fick
förlof	förlov
efter	efter
begäran	begäran
,	,
ifrån	ifrån
Sexmanssyslan	Sexmanssysslan
Olof	Olof
Jonson	Jonson
i	i
Dahl	Dahl
,	,
Lars	Lars
Larson	Larson
i	i
Mauritztorp	Mauritztorp
,	,
Pehr	Pehr
Pehrson	Pehrson
i	i
Erstorp	Erstorp
,	,
och	och
Lars	Lars
Jonson	Jonson
i	i
Ändebohl	Ändebohl
;	;
och	och
följande	följande
sattes	sattes
till	till
Sexmän	Sexmän
i	i
deras	deras
ställen	ställen
,	,
neml(ige)n	nämligen
Jonas	Jonas
Olson	Olson
i	i
Dahl	Dahl
för	för
Bjurstorpa	Bjurstorpa
Rota	Rota
,	,
Nils	Nils
Erson	Erson
i	i
Opsala	Opsala
för	för
Giersnäsa	Giersnäsa
Rota	Rota
,	,
Olof	Olof
Erson	Erson
i	i
Båldsnäs	Båldsnäs
för	för
KjärrBygdaRotan	KjärrBygdaRotan
,	,
och	och
Pehr	Pehr
Arvidson	Arvidson
i	i
Fäboda	Fäboda
för	för
Malmsåhs	Malmsåhs
Rota	Rota
.	.
§	§
25	25
.	.
	
För	För
det	det
andra	andra
frågades	frågades
:	:
om	om
någon	någon
hade	hade
sig	sig
bekant	bekant
at	att
Mallmberg	Mallmberg
,	,
under	under
sin	sin
tjenstetid	tjänstetid
hos	hos
framledne	framlidne
Bryggaren	Bryggaren
Hartman	Hartman
,	,
har	har
någon	någon
gång	gång
,	,
antingen	antingen
skrifwit	skrivit
hustrun	hustrun
til	till
,	,
här	här
i	i
orten	orten
,	,
eller	eller
på	på
annat	annat
sätt	sätt
wårdat	vårdat
hustru	hustru
och	och
barn	barn
?	?
	
Thet	Det
war	var
wäl	väl
bekant	bekant
,	,
sålänge	sålänge
Mallmberg	Mallmberg
tjente	tjänade
för	för
Kusk	Kusk
hos	hos
Wälborne	Välborne
Herr	Herr
Ryttmästaren	Ryttmästaren
och	och
Riddaren	Riddaren
David	David
Hildebrand	Hildebrand
,	,
at	att
han	han
henne	henne
tå	då
understödde	understödde
understundom	understundom
med	med
litet	litet
underhåld	underhåll
;	;
men	men
thet	det
berättade	berättade
flere	flera
:	:
at	att
tå	då
the	de
på	på
sina	sina
resor	resor
til	till
Stockholm	Stockholm
,	,
dels	dels
warit	varit
anmodade	anmodade
af	av
hustrun	hustrun
,	,
att	att
fråga	fråga
up	upp
honom	honom
,	,
dels	dels
såsom	såsom
Slägtingar	Släktingar
besökt	besökt
honom	honom
,	,
och	och
föreställt	föreställt
honom	honom
huru	hur
illa	illa
han	han
handlade	handlade
med	med
hustru	hustru
och	och
sina	sina
små	små
barn	barn
;	;
hafwa	har
the	de
altid	alltid
fått	fått
afwugt	avigt
tal	tal
och	och
swar	svar
,	,
jemte	jämte
hårda	hårda
och	och
oanständiga	oanständiga
flereslags	flereslags
utlåtelser	utlåtelser
.	.
§	§
4	4
.	.
	
Enligit	Enligt
ärhållen	erhållen
underrättelse	underrättelse
,	,
skall	skall
nu	nu
ganska	ganska
swårt	svårt
stå	stå
at	att
ärhållas	erhållas
Telgsten	Telgsten
ifrån	ifrån
ölandp	öland
som	som
tilförande	tillförande
warit	varit
projecterat	projekterat
at	att
förbättra	förbättra
Socknestufwegålfwet	Sockenstugegolvet
med	med
:	:
	
NummerSoldaten	NummerSoldaten
Stenbergs	Stenbergs
hustru	hustru
feck	fick
ock	ock
löffte	löfte
på	på
6	6
d(aler	daler
)	)
kmt	kmt
af	av
fattigcassan	fattigkassan
,	,
för	för
det	det
hon	hon
lärdt	lärt
änkans	änkans
i	i
Wästra	Västra
Kålberga	Kålberga
Ingrid	Ingrid
Jönsd(ott)er	Jönsdotter
lilla	lilla
dotter	dotter
stafwa	stava
.	.
§	§
22	22
.	.
	
Neij	Nej
.	.
4:o	4:o
Frågades	Frågades
om	om
Barnet	Barnet
warit	varit
förut	förut
siukt	sjukt
?	?
	
J	I
ansende	anseende
til	till
sin	sin
ofärd	ofärd
wille	ville
wäl	väl
Nils	Nils
Erson	Erson
uti	uti
Opsala	Opsala
begära	begära
afskied	avsked
ifrån	ifrån
sin	sin
SexmansSysla	SexmansSyssla
,	,
som	som
han	han
i	i
2:ne	2:ne
år	år
bestridt	bestridit
hade	hade
;	;
men	men
lätt	lät
endtel(ige)n	äntligen
öfwertala	övertala
sig	sig
at	att
wara	vara
Sexman	Sexman
i	i
Pålstorpa	Pålstorpa
Rota	Rota
til	till
hösten	hösten
första	första
gången	gången
.	.
§	§
16	16
.	.
	
Sedan	Sedan
igenom	igenom
Respective	Respektive
LandshöfdingeEmbetets	LandshövdingeÄmbetets
remiss	remiss
,	,
under	under
d(en	den
)	)
11	11
januarii	januari
1757	1757
,	,
til	till
öfwerjägmästaren	överjägmästaren
Winblad	Winblad
,	,
Församblingen	Församlingen
ärhållit	erhållit
tillstånd	tillstånd
,	,
at	att
,	,
til	till
sin	sin
den	den
tiden	tiden
tilärnade	tillärnade
,	,
nu	nu
fulbordade	fullbordade
,	,
MagazinsByggnad	MagasinsByggnad
,	,
få	få
af	av
Kronans	Kronans
allmänning	allmänning
,	,
Fyrahundrade	Fyrahundra
timmer	timmer
,	,
och	och
man	man
åren	åren
tilförende	tillförne
icke	icke
hunnit	hunnit
,	,
at	att
til	till
Kyrkan	Kyrkan
framskaffa	framskaffa
mera	mera
än	än
161	161
.	.
st.	st.
Stockar	Stockar
,	,
så	så
at	att
för	för
Församblingens	Församlingens
räckning	räkning
,	,
ännu	ännu
återstå	återstå
239	239
.	.
dito	dito
,	,
hwilka	vilka
på	på
Kyrkans	Kyrkans
bekostnad	bekostnad
,	,
för	för
1	1
år	år
sedan	sedan
,	,
äro	är
utsynta	utsynta
och	och
krönta	krönta
,	,
det	det
Församblingen	Församlingen
nogsamt	nogsamt
kunnigt	kunnigt
är	är
;	;
Förthenskuld	Fördenskull
och	och
althenstund	alldenstund
man	man
kommit	kommit
i	i
ärfarenhet	erfarenhet
,	,
at	att
en	en
ny	ny
utsyning	utsyning
på	på
Timmer	Timmer
,	,
af	av
krono	krono
almänningen	allmänningen
skall	skall
snart	snart
skje	ske
,	,
och	och
man	man
således	således
har	har
anledning	anledning
at	att
frugta	frukta
,	,
det	det
Församlingen	Församlingen
torde	torde
komma	komma
at	att
brista	brista
på	på
sin	sin
Summa	Summa
,	,
som	som
wore	vore
en	en
stor	stor
och	och
obotelig	obotlig
skada	skada
,	,
så	så
wida	vida
trowärdigt	trovärdigt
folk	folk
berätta	berätta
,	,
det	det
ei	ej
många	många
parker	parker
på	på
allmänningen	allmänningen
,	,
äro	är
med	med
dugelig	duglig
skog	skog
försedde	försedde
,	,
så	så
förestälte	föreställde
Pastor	Pastor
,	,
med	med
flere	flera
skäl	skäl
,	,
nödwändigheten	nödvändigheten
,	,
at	att
wid	vid
första	första
winterföre	vinterföre
,	,
framskaffa	framskaffa
den	den
ofwannämbde	ovannämnda
Summan	Summan
.	.
	
Gafs	Gavs
äfwen	även
tilkänna	tillkänna
,	,
at	att
som	som
Församblingen	Församlingen
på	på
sista	sista
Michelsmässo	Mickelsmässo
SockneStämma	SockenStämma
,	,
d(en	den
)	)
16	16
october	oktober
sistl(ed)ne	sistlidne
,	,
Se	Se
	
Begärade	Begärde
fölljande	följande
Sexmän	Sexmän
af	av
sked	sked
;	;
Neml(ige)n	Nämligen
Sven	Sven
Svensson	Svensson
i	i
Karstorp	Karstorp
,	,
som	som
inemot	inemot
20	20
år	år
,	,
hafft	haft
denna	denna
Sysslan	Sysslan
:	:
	
Och	Och
förordnades	förordnades
för	för
Karstorpa	Karstorpa
Rota	Rota
,	,
Lars	Lars
Olofsson	Olofsson
i	i
Hällen	Hällen
,	,
til	till
Rotemästare	Rotemästare
:	:
	
Lieutenant	Löjtnant
Anders	Anders
Lidstrands	Lidstrands
tal	tal
til	till
Protocollet	Protokollet
uti	uti
SockneStämman	SockenStämman
med	med
Mallms	Mallms
Socken	Socken
,	,
d(en	den
)	)
1	1
.	.
	
Jntet	Intet
är	är
nu	nu
nödigare	nödigare
at	att
lappa	lappa
,	,
än	än
de	de
refwor	revor
som	som
finnas	finnas
på	på
östra	östra
Gafwelens	Gavelns
bägge	bägge
hörn	hörn
;	;
hwilka	vilka
Herr	Herr
Ryttmästaren	Ryttmästaren
på	på
ena	ena
hörnet	hörnet
nyligen	nyligen
låtit	låtit
emotstödja	emotstödja
;	;
Men	Men
som	som
dessa	dessa
sprickor	sprickor
synligen	synligen
kommit	kommit
af	av
den	den
odugeliga	odugliga
grund	grund
,	,
som	som
lagd	lagd
blifwit	blivit
til	till
Kyrkans	Kyrkans
skada	skada
,	,
men	men
ei	ej
utwidgande	utvidgande
,	,
och	och
det	det
utom	utom
Församblingens	Församlingens
willja	vilja
eller	eller
wetenskap	vetenskap
,	,
så	så
påstår	påstår
Han	Han
å	å
Församblingens	Församlingens
wägnar	vägnar
,	,
at	att
den	den
som	som
skadan	skadan
åstadkommit	åstadkommit
,	,
den	den
bota	bota
må	må
,	,
och	och
sättja	sätta
kyrkan	kyrkan
i	i
det	det
stånd	stånd
hon	hon
war	var
,	,
innan	innan
berörde	berörde
odugeliga	odugliga
grund	grund
lagder	lagd
blef	blev
.	.
	
Wille	Ville
Herr	Herr
Lieutenanten	Löjtnanten
gärna	gärna
weta	veta
,	,
om	om
någre	några
af	av
the	de
närwarande	närvarande
,	,
kunde	kunde
med	med
säkerhet	säkerhet
säga	säga
:	:
	
Men	Men
emedan	emedan
ingen	ingen
nu	nu
i	i
hastighet	hastighet
kunde	kunde
härom	härom
tilförlitelig	tillförlitlig
underrättelse	underrättelse
afgifwa	avgiva
,	,
blev	blev
målet	målet
til	till
et	ett
annat	annat
och	och
lägligare	lägligare
tillfälle	tillfälle
upskutit	uppskjutet
,	,
tå	då
Herr	Herr
Lieutenanten	Löjtnanten
wille	ville
öfwer	över
thessa	dessa
slags	slags
wägar	vägar
Sig	Sig
utlåta	utlåta
.	.
	
Utan	Utan
skulle	skulle
man	man
endast	endast
söka	söka
til	till
at	att
några	några
andra	andra
små	små
förbättringar	förbättringar
wid	vid
Kyrkan	Kyrkan
göra	göra
,	,
som	som
angelägna	angelägna
wara	vara
kunde	kunde
,	,
såsom	såsom
med	med
Kyrke	Kyrko
och	och
Torndörarnas	Torndörrarnas
,	,
m.m.	m.m.
stofferande,45	stofferande
tillika	tillika
med	med
hwad	vad
på	på
sjelfwa	själva
Tornet	Tornet
kunde	kunde
,	,
til	till
thess	dess
förwarande	förvarande
,	,
nödigt	nödigt
finnas	finnas
.	.
§	§
8	8
.	.
	
Uplästes	Upplästes
den	den
ifrån	ifrån
Högwördige	Högvördige
Herr	Herr
Doctor	Doktor
och	och
Biskopen	Biskopen
Jacob	Jacob
Serenius	Serenius
til	till
Kyrkan	Kyrkan
ankomne	ankomne
,	,
så	så
kallade	kallade
Minneshjelpen	Minneshjälpen
wid	vid
visitationer	visitationer
,	,
af	av
hwilken	vilken
the	de
puncter	punkter
,	,
som	som
kunde	kunde
röra	röra
god	god
ordning	ordning
wid	vid
oeconomier	oekonomier
i	i
Försambl(ingen	Församlingen
)	)
,	,
58	58
)	)
nu	nu
endast	endast
ventilerades	ventilerades
och	och
woro	var
fölljande	följande
,	,
om	om
hwilka	vilka
Försambl(ingen	Församlingen
)	)
underrättades	underrättades
.	.
(	(
1	1
)	)
at	att
första	första
Doxologien,46	Doxologien
näst	näst
effter	efter
Kyrie,46	Kyrie
läses	läses
ut	ut
helt	helt
och	och
hållen	hållen
,	,
hwarest	varest
Kyrie	Kyrie
icke	icke
sjunges	sjungs
.	.
(	(
2	2
)	)
Andra	Andra
Doxologien	Doxologien
,	,
näst	näst
för	för
wälsignelsen	välsignelsen
,	,
sker	sker
med	med
upstående	uppstående
af	av
hela	hela
Församlingen	Församlingen
,	,
lika	lika
så	så
för	för
Trefaldighets	Trefaldighets
Psalmerna	Psalmerna
och	och
n:o	n:o
140	140
.	.
(	(
3	3
)	)
Litanian	Litanian
utelemnas	utelämnas
aldrig	aldrig
på	på
Högtids	Högtids
och	och
Bönedagar	Bönedagar
.	.
(	(
4	4
)	)
På	På
SockneStämmorne	SockenStämmorna
upläses	uppläses
altid	alltid
3	3
cap.	kap.
Missgärnings	Missgärnings
]	]
b(al)k(en	balken
)	)
3	3
.	.
4	4
.	.
5	5
.	.
6	6
.	.
7	7
.	.
8	8
.	.
§§	§§
.	.
angående	angående
dem	dem
,	,
som	som
på	på
förmaning	förmaning
sig	sig
icke	icke
bättra	bättra
.	.
(	(
5	5
)	)
Husförhören	Husförhören
skola	skola
börjas	börjas
om	om
hösten	hösten
,	,
sedan	sedan
folket	folket
gått	gått
i	i
tjensten	tjänsten
.	.
(	(
6	6
)	)
Wid	Vid
årliga	årliga
Socknestämmor	Sockenstämmor
tilsäges	tillsägs
,	,
at	att
ingen	ingen
som	som
1	1
:	:
a	a
ggn	ggn
wil	vill
träda	träda
i	i
ägtenskap	äktenskap
,	,
får	får
wigning	vigning
utan	utan
at	att
kunna	kunna
läsa	läsa
i	i
Bok	Bok
,	,
och	och
Lutheri	Lutheri
Catekes	Katekes
.	.
(	(
7	7
)	)
Om	Om
föräldrar	föräldrar
föregå	föregå
barnen	barnen
med	med
ond	ond
Exempel	Exempel
,	,
sättjas	sättas
de	de
ifrån	ifrån
Herrens	Herrens
H(elige	Helige
)	)
Nattward	Nattvard
,	,
och	och
Tingföras	Tingföras
at	att
pligta	plikta
effter	efter
M(issgernings	Missgärnings
)	)
B(alken	Balken
)	)
3	3
.	.
	
Krogar	Krogar
wid	vid
Kyrkan	Kyrkan
uphäfwas	upphävas
,	,
samt	samt
öhl	öl
och	och
bränwins	brännvins
säljande	säljande
wid	vid
gästgifwerjer	gästgiverier
,	,
för	för
och	och
under	under
Gudstjensten	Gudstjänsten
,	,
wid	vid
10	10
dahler	daler
smts	smts
pligt	plikt
och	och
wite	vite
.	.
(	(
12	12
)	)
Wallgång48	Vallgång
af	av
gassar	gossar
förbjudes	förbjuds
,	,
Se	Se
XI	XI
.	.
	
År	År
1765	1765
d(en	den
)	)
9	9
Junii	Juni
,	,
kallades	kallades
den	den
närwarande	närvarande
Församblingen	Församlingen
,	,
effter	efter
slutad	slutad
Gudstjenst	Gudstjänst
,	,
in	in
uti	uti
Socknestuf(wa)n	Sockenstugan
,	,
tå	då
fölljande	följande
afhandlades	avhandlades
.	.
§	§
1	1
.	.
	
Swarades	Svarades
enhälligt	enhälligt
nej	nej
.	.
§	§
4	4
.	.
	
J	I
anledning	anledning
häraf	härav
frågades	frågades
:	:
om	om
icke	icke
det	det
wore	vore
billigt	billigt
,	,
at	att
Kyrkan	Kyrkan
för	för
sina	sina
uti	uti
6	6
år	år
utestående	utestående
penningar	penningar
,	,
borde	borde
någon	någon
skälig	skälig
och	och
wahnlig	vanlig
Ränta	Ränta
njuta	njuta
?	?
	
Jonas	Jonas
Larsson	Larsson
uti	uti
Wästergården	Wästergården
,	,
Remmerö	Remmerö
,	,
tillika	tillika
med	med
flera	flera
Socknemän	Sockenmän
,	,
klagade	klagade
högeligen	högeligen
öfwer	över
den	den
yppighet	yppighet
,	,
som	som
föröfwas	förövas
af	av
en	en
del	del
unga	unga
drängar	drängar
och	och
gassar	gossar
igenom	igenom
the	de
swarta	svarta
bandroser3	bandroser
the	de
tagit	tagit
sig	sig
före	före
at	att
bruka	bruka
uti	uti
halsdukar	halsdukar
med	med
mera	mera
:	:
och	och
kom	kom
Församblingen	Församlingen
enhälligt	enhälligt
öfwerens	överens
,	,
at	att
samma	samma
öfwerflöd	överflöd
och	och
yppighet	yppighet
med	med
det	det
förra	förra
3	3
drs	drs
.	.
wite	vite
,	,
öfwer	över
alt	allt
,	,
för	för
tjenstedrängar	tjänstedrängar
och	och
gassar	gossar
,	,
förbjuda	förbjuda
.	.
§	§
13	13
.	.
	
Hwad	Vad
utwägar	utvägar
borde	borde
widtagas	vidtagas
,	,
til	till
at	att
ärsättja	ersätta
Fattigcassan	Fattigkassan
de	de
utlagde	utlagde
18	18
dr	dr
kmt	kmt
för	för
wakthållning	vakthållning
med	med
mera	mera
,	,
hos	hos
den	den
för	för
detta	detta
sjukliga	sjukliga
Eric	Eric
Johansons	Johansons
hustru	hustru
i	i
Qwabben	Qwabben
,	,
medan	medan
det	det
synes	synes
nog	nog
hårdt	hårt
,	,
så	så
wida	vida
mannen	mannen
både	både
bör	bör
och	och
kunde	kunde
sådant	sådant
återgälda	återgälda
,	,
att	att
Församblingens	Församlingens
Fattig	Fattig
Cassa	Kassa
härmed	härmed
må	må
graveras	graveras
?	?
	
Vice	Vice
Landsmannen	Landsmannen
Lars	Lars
Samuel	Samuel
Carell	Carell
,	,
nu	nu
närwarande	närvarande
,	,
klagade	klagade
högel(igen	högeligen
)	)
däröwer	däröver
,	,
at	att
Landswägen	Landsvägen
på	på
Stensjö	Stensjö
backe	backe
,	,
genom	genom
oaktsamt	oaktsamt
sandtagande	sandtagande
i	i
gropen	gropen
,	,
och	och
i	i
kanten	kanten
af	av
wägen	vägen
,	,
blifwer	blir
aldeles	alldeles
förderfwad	fördärvad
,	,
och	och
är	är
allaredan	allaredan
så	så
mycket	mycket
medtagen	medtagen
,	,
at	att
han	han
snart	snart
stjelper	stjälper
på	på
den	den
ena	ena
sidan	sidan
.	.
	
Så	Så
tycktes	tycktes
hans	hans
ord	ord
gifwa	giva
tilkänna	tillkänna
.	.
	
Gud	Gud
wiste	visste
huru	hur
oskyldig	oskyldig
han	han
war	var
,	,
at	att
han	han
war	var
ohemult	ohemult
angifwen	angiven
;	;
honom	honom
betogs	betogs
tilfälle	tillfälle
at	att
